시도,시군구,치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,운영기관명,운영기관전화번호,주요치매관리프로그램소개,관리기관전화번호,관리기관명,제공기관명
강원도,화천군,화천군치매안심센터,치매안심센터,강원도 화천군 화천읍 강변로 111,강원도 화천군 화천읍 중리 242-4,38.1073412292,127.709121,화천군보건의료원,033-440-2809,"치매검사, 원격진료, 주간재활프로그램 운영",033-442-4424,강원도 화천군청,강원도 화천군
강원도,양구군,양구군치매안심센터,치매안심센터,강원도 양구군 양구읍 관공서로 42,강원도 양구군 양구읍 하리 34-5,38.1099462889,127.9892064797,x,033-480-2808,"치매환자 쉼터, 치매 검진, 사례관리 등",033-480-2808,x,강원도 양구군
인천광역시,강화군,강화군치매안심센터,치매안심센터,인천광역시 강화군 강화읍 충렬사로 26-1,인천광역시 강화군 강화읍 남산리 324-1,37.73723039,126.4847095,강화군보건소,032-930-4057,치매 무료 상담 및 무료치매검사 등,032-930-4001,인천광역시 강화군청,인천광역시 강화군
대전광역시,중구,대전광역시 중구 치매안심센터,치매안심센터,대전광역시 중구 중앙로 100,대전광역시 중구 대흥동 499-1,36.32557502,127.4212953,대전광역시 중구보건소,042-288-8180,치매환자 등록 관리+가족교육+예방교육+치매검사+인지훈련 등,042-288-8180,대전광역시 중구청,대전광역시 중구
서울특별시,관악구,관악구치매안심센터,치매안심센터,서울특별시 관악구 관악로 145 관악구청 별관 3층,서울특별시 관악구 봉천동 1570-1 관악구청 별관 3층,37.47864563,126.9509331,서울특별시 관악구보건소,02-879-4910,치매조기검진 및 등록관리+치매예방 및 인식개선+치매의료비 지원+인지건강프로그램 및 치매환자쉼터 운영+치매환자 가족지원,02-879-7184,서울특별시 관악구보건소,서울특별시 관악구
강원도,정선군,정선군치매안심센터,치매안심센터,강원도 정선군 정선읍 녹송로 33,강원도 정선군 정선읍 봉양리 80-5,37.38005958,128.6714859,정선군보건소,033-560-2565,치매상담 및 등록+치매조기검진사업+치매예방교실+치매환자쉼터+치매가족교실+치매치료비지원+치매환자조호물품지원+치매인식개선사업 등,033-560-2565,정선군보건소,강원도 정선군
경기도,광명시,광명시치매안심센터,치매안심센터,경기도 광명시 오리로 613,경기도 광명시 하안동 230-1,37.45541099,126.8781639,광명시치매안심센터,02-2680-6546,치매조기검진+치매극복의날 기념행사+치매서포터즈양성+치매안심마을 운영+치매인지프로그램운영 등,02-2680-6546,경기도 광명시 보건소,경기도 광명시
경상남도,거창군,거창군치매안심센터,치매안심센터,경상남도 거창군 거창읍 거함대로 3079,경상남도 거창군 거창읍 송정리 332-3,35.6809363,127.8987274,거창군 보건소,055-940-7912,치매환자 상담 및 등록 관리+치매 조기검진 및 진단+치매치료관리비 지원+치매환자 조호물품지원+노인성 질환자 위생용품 지원+치매 실종예방·배회감지기 지원+치매 안심 프로그램 운영 치매파트너 양성+치매극복 선도기관 지정+치매환자 공공 후견 지원+인식개선 및 홍보 사업+치매예방교육 등,055-940-7912,경상남도 거창군청,경상남도 거창군
경기도,부천시,부천시치매안심센터,치매안심센터,경기도 부천시 길주로 410,경기도 부천시 춘의동 163-7,37.50363121,126.7880203,부천시보건소,032-625-4423,치매환자의 등록·관리+치매의 예방·교육 및 홍보+치매조기검진,032-625-4423,경기도 부천시청,경기도 부천시
전라남도,영광군,영광군치매안심센터,치매안심센터,전라남도 영광군 영광읍 신남로4길 17,전라남도 영광군 영광읍 남천리 326,35.274681,126.504163,영광군보건소,061-350-4806,치매 조기검진+진단검사+치료관리비 및 검사비 지원+치매예방교실+인지강화교실+쉼터+치매환자가족모임 운영+조호물품 지원+사례관리 등,061-350-5552,전라남도 영광군청,전라남도 영광군
경기도,화성시,화성시치매안심센터 동탄분소,치매안심센터,경기도 화성시 노작로 226-9,,37.2070698,127.0786007,경기도 화성시 동탄보건소,031-5189-4361,치매조기검진사업+치매인식개선 및 예방사업+가족교육사업+쉼터 운영사업,,경기도 화성시청 치매안심센터,경기도 화성시
부산광역시,중구,중구치매안심센터,치매안심센터,부산광역시 중구 흑교로 48 중구복합건강센터 2층,부산광역시 중구 보수동1가 95-3,35.103775,129.025356,부산광역시 중구보건소,051-600-4688,치매초기상담+조기검진+1:1 사례관리+치매치료비지원 등,051-600-4688,부산광역시 중구보건소,부산광역시 중구
충청북도,증평군,증평군치매안신셈터,치매안심센터,충청북도 증평군 증평읍 보건복지로 64-1,충청북도 증평군 증평읍 내성리 57-2,36.77424904,127.5867247,충청북도 증평군 보건소,043-835-4782,치매 기억력 검진+치매환자 인지재활 프로그램+치매환자 가족교실+자조모임+치매 예방교육+치매안심마을 조성,043-835-4782,충청북도 증평군 보건소,충청북도 증평군
서울특별시,영등포구,영등포구치매안심센터,치매안심센터,서울특별시 영등포구 당산로 29길 9,서울특별시 영등포구 당산동3가 407,37.525994,126.893979,한림대학교 강남성심병원,02-831-0855,"치매예방 및 인식개선(교육, 홍보)치매조기검진(선별검진, 정밀검진)치매예방등록사업(상담 및 사례관리, 환자 및 가족 지원, 인지건강 프로그램 운영)치매치료비 및 원인확진검사비 지원(저소득 치매환자)치매지역사회 지원강화(지역사회 인적, 물적 자원 연계)치매통합관리 정보시스템 구축 운영",02-2670-4752,영등포구 보건소(건강증진과),서울특별시 영등포구
경상북도,의성군,의성군치매안심센터,치매안심센터,경상북도 의성군 의성읍 구봉길 228,경상북도 의성군 의성읍 도서리 104-1,36.345603,128.6976946,경상북도 의성군보건소,054-830-6699,무료 치매검사+치매 극복의 날 기념행사+인식개선 홍보+가족지지 프로그램 운영+1:1 맞춤형 사례 관리 치매 홍보 서포터스 운영+치매 보듬 마을 운영+우리 마을 예쁜 치매 쉼터 운영 등,054-830-0660,경상북도 의성군청,경상북도 의성군
경상북도,영덕군,영덕군치매안심센터,치매안심센터,경상북도 영덕군 영덕읍 군청길 53,경상북도 영덕군 영덕읍 덕곡리 228-2,36.4135451232,129.3735579543,경상북도 영덕군 보건소,054-730-7177,치매조기검진+치매환자 사례관리+치매 프로그램 운영+치매치료관리비 지원+치매인식개선사업,054-730-6813,경상북도 영덕군청,경상북도 영덕군
경기도,김포시,김포시치매안심센터,치매안심센터,경기도 김포시 사우중로73번길 52(래미안프라자 4층),,37.6230817675,126.7211345997,김포시 치매안심센터,031-5186-4169,치매선별검사+치매예방 및 인지저하 프로그램+치매안심마을 운영+치매극복 선도학교 운영+치매치료관리비+치매공공후견인+조호물품제공,031-5186-4169,경기도 김포시 보건소,경기도 김포시
울산광역시,중구,울산중구치매안심센터,치매안심센터,울산광역시 중구 외솔큰길 225 중구보건소 2층,울산광역시 중구 남외동 603-2 중구보건소 2층,35.5694483,129.3504562,울산광역시 중구보건소,052-290-4366,"무료치매선별검사, 치매예방 인지건강프로그램, 치매예방 가족교육 등",052-290-4362,울산광역시 중구 보건소,울산광역시 중구
경기도,의정부시,의정부시보건소 치매상담센터,치매안심센터,경기도 의정부시 범골로 128 다다원빌딩 3층,경기도 의정부시 범골로 128 다다원빌딩 3층 치매상담센터(의정부동),37.73553403,127.0396452,의정부시보건소,031-870-6121,무료치매선별검사+ 치매상담+ 치매예방교육+ 재가치매환자 조호물품 지원+ 치매치료관리비 지원+ 치매 극복의 날 기념행사 등,031-870-6121,의정부시보건소,경기도 의정부시
경상남도,함양군,함양군 치매안심센터,치매안심센터,경상남도 함양군 함양읍 한들로 141,경상남도 함양군 함양읍 용평리 630-3,35.5196763,127.731782,함양군보건소,055-960-8070,치매조기검진+치매환자상담 및 등록관리+조호물품제공+집중사례관리+인지재활프로그램운영+치매가족모임운영+치매인식개선사업+치매환자실종예방사업 등,055-960-8070,경상남도 함양군보건소,경상남도 함양군
전라북도,익산시,익산시치매상담센터,치매상담전화센터,전라북도 익산시 선화로 255 (국민생활관 2층),전라북도 익산시 남중동 86-10,35.94545821,126.9583129,익산시보건소,063-859-4085,"치매환자 등록관리, 치매조기검진, 치매치료비 지원,인지증진프로그램, 치매환자 가족지지모임 등",,익산시 보건소,전라북도 익산시
서울특별시,강북구,강북구치매지원센터,치매안심센터,서울특별시 강북구 삼양로19길 154 삼각산분소 2층,서울특별시 강북구 미아동 1353-8,37.61704648,127.0156528,강북구치매지원센터,02-991-9830,조기검진+쉼터+가족지원+인식개선 등치매검진+치매치료비+조호물품+배회인식표+가족모임+인지건강센터+기억친구 등,02-901-7768,강북구 보건소,서울특별시 강북구
서울특별시,강북구,강북구치매지원센터,치매안심센터,서울특별시 강북구 삼양로476 스마트빌딩 1층,서울특별시 강북구 수유동 322-14,37.64580812,127.015664,강북구치매지원센터,02-991-9830,경도치매군 인지재활 프로그램+조기검진+조호물품+사례관리+봉사단체운영및지역자원연계 등,02-901-7768,강북구 보건소,서울특별시 강북구
울산광역시,동구,울산광역시 동구보건소 치매안심센터,치매안심센터,울산광역시 동구 봉수로 155,울산광역시 동구 화정동 222,35.50506971,129.4164300357,울산광역시 동구보건소,052-209-4060,쉼터 운영+인지강화 및 인지재활 프로그램+힐링프로그램+자조모임,052-209-4060,울산광역시 동구보건소,울산광역시
울산광역시,남구,울산광역시 남구보건소 치매안심센터,치매안심센터,울산광역시 남구 삼산중로 132,울산광역시 남구 삼산동 1538-4,35.54535759,129.3363268,울산광역시 남구보건소,052-226-2323,상담 및 등록관리사업+조기검진사업+쉼터운영사업+가족지원사업+치매인식개선홍보사업,052-226-2323,울산광역시 남구보건소,울산광역시
울산광역시,중구,울산광역시 중구보건소 치매안심센터,치매안심센터,울산광역시 중구 외솔큰길 225,울산광역시 중구 남외동 603-2,35.5694483,129.3504562,울산광역시 중구보건소,052-290-4366,무료치매선별검사+치매예방 인지건강프로그램+치매예방 가족교육 등,052-290-4362,울산광역시 중구보건소,울산광역시
울산광역시,북구,울산광역시 북구보건소 치매안심센터,치매안심센터,울산광역시 북구 산업로 1018,울산광역시 북구 연암동 1082,35.58356886,129.3607274,울산광역시 북구보건소,052-241-8257,치매조기검진 및 치매환자 등록관리+교육지원,052-289-3450,울산광역시 북구보건소,울산광역시
울산광역시,울주군,울산광역시 울주군보건소 치매안심센터,치매안심센터,울산광역시 울주군 웅촌면 은현작동로 49,울산광역시 울주군 웅촌면 검단리 1091-19,35.4569102,129.1768128,울산광역시 울주군보건소,052-204-2878,치매조기검진 및 진단검사+치매안심마을 운영+치매공공후견사업+치매 상담 및 등록+단기쉼터 운영+치매예방프로그램 운영+치매인식개선홍보 등,052-204-2798,울산광역시 울주군보건소,울산광역시
서울특별시,마포구,마포구치매안심센터,치매안심센터,"서울특별시 마포구 대흥로 24길 50, 3층","서울특별시 마포구 염리동 14-11, 3층",37.55484369,126.9486358,가톨릭대학교서울성모병원,3272-1578,치매예방 및 인식개선 사업+치매 조기검진 사업+치매 예방 등록 관리 사업+치매 치료비 및 원인 확진 검사비 지원,02-3153-9062,서울특별시 마포구 보건소 건강증진과,서울특별시 마포구
경기도,화성시,화성시치매안심센터,치매안심센터,경기도 화성시 향남읍 상신초교길 52,,37.09407248,126.9011824,경기도 화성시 보건소,031-5189-6647,치매조기검진사업+치매인식개선 및 예방사업+가족교육사업+쉼터 운영사업,,경기도 화성시청 치매안심센터,경기도 화성시
부산광역시,사상구,사상구치매안심센터,치매안심센터,부산광역시 사상구 학감대로 242(감전동),부산광역시 사상구 감전동 138-8,35.15254918,128.9914565,부산광역시 사상구보건소,051-310-3363,치매환자 등록 관리+중증치매노인공공후견+사례관리+치매치료관리비 지원+치매조기검진+치매환자 쉼터 및 가족지원+치매 인식 개선을 위한 홍보 캠페인 등,051-310-3362,부산광역시 사상구 사상구보건소,부산광역시 사상구
서울특별시,양천구,양천구치매안심센터,치매안심센터,"서울특별시 양천구 남부순환로 407, 4층(신월동, 신월보건지소)",서울특별시 양천구 신월동 131-4,37.53133859,126.831824,이화의대부속 목동병원,02-2698-8680,치매검사+치매 상담 및 등록관리+치매가족지원+치매인식개선+인지강화 및 치매예방교실 운영 등,02-2620-4348,서울특별시 양천구청,서울특별시 양천구
울산광역시,울주군,울주치매안심센터,치매안심센터,울산광역시 울주군 웅촌면 은현작동로 49,울산광역시 울주군 웅촌면 검단리 1091-19,35.45690394,129.176837,울주군보건소,052-204-2878,"치매 상담 및 등록, 치매조기검진, 치매예방프로그램 운영, 치매인식개선홍보, 치매안심마을 운영, 치매공공후견사업,  단기쉼터 운영  등",052-204-2798,울산광역시 울주군보건소,울산광역시 울주군
경기도,과천시,경기도 과천시 치매안심센터,치매안심센터,"경기도 과천시 관문로 69, 과천시보건소 별관 1층","경기도 과천시 중앙동 1-3, 과천시보건소 별관 1층",37.43020067,126.9867943,과천시보건소,02-2150-3571,치매상담+등록관리+조기검진+단기쉼터운영+가족지원사업+실종예방지원사업+인식개선사업+조호물품 지원+치매치료관리비 지원+치매예방교실운영+치매가족교실+치매파트너 교육+치매공공후견인 발굴+식이섭취 장애개선사업+치매안심마을 운영+맞춤형사례관리+고위험군 인지강화교실 운영 등,02-2150-3805,경기도 과천시청,경기도 과천시
인천광역시,서구,서구치매안심센터,치매안심센터,"인천광역시 서구 봉오재3로94번길11, 5층","인천광역시 서구 가정동 618-5, 5층",37.52682789,126.6704777,인천광역시 서구보건소,032-718-0630,치매 선별검사 및 진단검사+치매 예방 프로그램+치매환자 인지재활 프로그램+치매 인식개선 홍보+치매환자 돌봄 지원,032-718-0630,인천광역시 서구보건소,인천광역시 서구
충청남도,서산시,서산시보건소 치매센터,치매안심센터,"충청남도 서산시 호수공원6로 6, 서산시보건소(예천동)",충청남도 서산시 예천동 496-1,36.77457668,126.4445156,서산시보건소,041-661-8100,치매조기검진+치매안심센터프로그램 운영+치매환자 맞춤형 사례관리+치매환자 조호물품 및 치매치료관리비 지원,041-661-6592,충청남도 서산시보건소,충청남도 서산시
서울특별시,서초구,서초구치매안심센터,치매안심센터,"서울특별시 서초구 염곡말길 9, 4층(염곡동, 내곡느티나무쉼터)",서울특별시 서초구 염곡동 180-2,37.46182487,127.0506972,가톨릭대학교서울성모병원,02-591-1833,"무료치매검사, 고도화장비기반 치매검사, 인지건강프로그램, 치매환자 가족교육 및 지지프로그램, 안심하우스 및 기억키움학교 운영, 치매 홍보서포터즈 운영 등",02-2155-8081,서울특별시 서초구보건소,서울특별시 서초구
충청남도,홍성군,홍성군치매안심센터,치매안심센터,충청남도 홍성군 홍성읍 문화로 106,충청남도 홍성군 홍성읍 오관리 474-7,36.59664192,126.6630613,홍성군보건소,041-630-9076,등록+조기검진+인지재활+강화프로그램,041-630-2588,홍성군치매안심센터,충청남도 홍성군
서울특별시,강동구,강동구치매안심센터,치매안심센터,서울특별시 강동구 성내로 45,서울특별시 강동구 성내동 541-2,37.52954199,127.1255855,강동성심병원,02-489-1130,"치매예방및인식개선,치매조기검진,치매및고위험인지재활프로그램(인지건강센터),경증치매노인기억키움학교프로그램,치매치료비지원,치매지역자원강화 등",02-3425-6773,강동구보건소,서울특별시 강동구
경기도,고양시,덕양구보건소치매안심센터,치매안심센터,"경기도 고양시 덕양구 화중로104번길26, 4층",경기도 고양시 덕양구 화정동 967-1,37.63580649,126.8325252,덕양구보건소,031-8075-4800,치매선별검사 및 진단검사 실시+치매환자등록ㆍ조호물품ㆍ치매치료관리비 지원+경증 치매환자 쉼터 운영+치매예방 프로그램 운영+치매 안심마을 운영+치매 인식개선사업+치매환자 실종예방사업,031-8075-4800,덕양구보건소 치매안심센터,경기도 고양시
경기도,고양시,일산동구보건소치매안심센터,치매안심센터,경기도 고양시 일산동구 중앙로 1228,경기도 고양시 일산동구 마두동 1010,37.65597924,126.7761487,일산동구보건소,031-8075-4850,치매선별검사 및 진단검사 실시+치매환자등록ㆍ조호물품ㆍ치매치료관리비 지원+경증 치매환자 쉼터 운영+치매예방 프로그램 운영+치매 안심마을 운영+치매 인식개선사업+치매환자 실종예방사업,031-8075-4850,일산동구보건소 치매안심센터,경기도 고양시
경기도,고양시,일산서구보건소치매안심센터,치매안심센터,경기도 고양시 일산서구 고양대로 688,경기도 고양시 일산서구 일산동 646-1,37.68363562,126.772353,일산서구보건소,031-8075-4871,치매선별검사 및 진단검사 실시+치매환자등록ㆍ조호물품ㆍ치매치료관리비 지원+경증 치매환자 쉼터 운영+치매예방 프로그램 운영+치매 안심마을 운영+치매 인식개선사업+치매환자 실종예방사업,031-8075-4871,일산서구보건소 치매안심센터,경기도 고양시
충청남도,부여군,부여군 치매안심센터,치매안심센터,충청남도 부여군 부여읍 성왕로 205,충청남도 부여군 부여읍 구아리 136,36.28305231,126.9093363,충청남도 부여군보건소,041-830-8735,"치매노인 등록 및 관리, 치매노인 및 보호자에 대한 상담, 지원, 치매조기검진, 치매치료관리비 지원 및 치매환자 사례관리, 치매인지재활 프로그램, 치매가족교실 및 자조모임 등",041-830-8600,충청남도 부여군청,충청남도 부여군
경상북도,문경시,문경시치매안심센터,치매안심센터,경상북도 문경시 점촌1길 13 1층,경상북도 문경시 점촌동 234-12,36.596348,128.198008,경상북도 문경시 보건소,054-555-2033,치매조기검진사업+치매쉼터운영+치매보듬마을운영+치매조호물품지원+치매치료비지원+실종노인 발생예방 및 찾기 사업+치매공공후견사업+치매환자 맞춤형 사례관리사업+치매예방관리사업+치매가족 및 보호자 지원사업+배회가능 어르신 인식표 보급 사업+치매인식개선사업+치매파트너사업+치매안심센터 분소 설치 및 운영,054-550-8084,경상북도 문경시 보건소,경상북도 문경시
경상남도,하동군,하동군치매안심센터,치매안심센터,경상남도 하동군 횡천면 경서대로 1189,경상남도 하동군 횡천면 횡천리 575-3,35.1097955,127.815102,경상남도 하동군 보건소,055-880-6850,1.치매상담등록관리2.치매조기검진3.사례관리4.가족지원사업5.인지강화 및 예방프로그램운영6.치매파트너 및 등대지기 양성 등,055-882-4000,경상남도 하동군 보건소,경상남도 하동군
전라남도,순천시,순천시치매안심센터,치매안심센터,전라남도 순천시 중앙로 232,전라남도 순천시 석현동 35-6,34.966691,127.4860721,순천시보건소,061-749-8888,"인지재활프로그램, 기억력 검사 등",061-749-3101,순천시보건소,전라남도 순천시
전라남도,진도군,진도군치매안심센터,치매안심센터,전라남도 진도군 진도읍 남동1길 40-9,전라남도 진도군 진도읍 남동리 776-26,34.480308,126.2629491,진도군보건소,061-540-6065,치매조기검진 및 등록관리+인지건강프로그램 등,061-540-6962,전라남도 진도군 보건소,전라남도 진도군
경기도,구리시,구리시 치매안심센터,치매안심센터,경기도 구리시 건원대로 34번길 84 구리시보건소 4층,경기도 구리시 인창동 674-3,37.60477675,127.1450794,경기도 구리시보건소,031-550-8613,"치매쉼터 운영, 치매조기검진, 치매조기검진, 인지재활프로그램 운영, 가족카페 운영",031-550-8311,경기도 구리시,경기도 구리시
경상북도,경주시,경주시 치매상담센터,치매안심센터,경상북도 경주시 봉황로 178,경상북도 경주시 성건동 620-83,35.85535748,129.2105107,경주시보건소,054-760-2950,"치매조기검진, 치매치료비지원, 치매쉼터운영, 치매가족프로그램 운영, 치매예방교육 및 상담, 치매인식개선사업, 치매보듬마을 조성",054-779-8659,경상북도 경주시청,경상북도 경주시
울산광역시,북구,울산광역시북구치매안심센터,치매안심센터,울산광역시 북구 산업로 1018,울산광역시 북구 연암동 1082,35.58355486,129.3607258,울산광역시 북구보건소,052-241-8257,치매 조기검진 및 치매환자 등록관리+교육지원,052-289-3450,울산광역시 북구보건소,울산광역시 북구
강원도,삼척시,삼척시치매안심센터,치매안심센터,강원도 삼척시 척주로 76,강원도 삼척시 남양동 347-4,37.44374981,129.172207,강원도 삼척시 보건소,033-570-4327,"치매조기검진, 치매환자 등록관리, 치매예방교실, 치매환자 쉼터 운영 등",033-572-4000,강원도 삼척시 보건소,강원도 삼척시
충청북도,영동군,영동군치매안심센터,치매안심센터,충청북도 영동군 영동읍 반곡동길 7,충청북도 영동군 영동읍 매천리 444-1,36.16849628,127.7759673,영동군보건소,043-740-5941,치매예방교실  인지강화교실+쉼터,043-740-5941,충청북도 영동군 보건소,충청북도 영동군
충청남도,금산군,금산군치매안심센터,치매안심센터,충청남도 금산군 금산읍 비범1길 5 1층,충청남도 금산군 금산읍 중도리 214-3 치매안심센터,36.1095223,127.4934473,충청남도 금산군보건소,041-750-4173,치매상담+등록관리+조기검진+인지재활프로그램+치매치료관리비지원+치매주간보호센터 운영 등,041-750-4171,충청남도청,충청남도 금산군
강원도,속초시,속초시치매안심센터,치매안심센터,강원도 속초시 수복로 36,강원도 속초시 교동 960,38.196194,128.5759527,강원도 속초시 보건소,033-639-2778,"치매조기검진, 어울림 쉼터 인지재활 프로그램, 가정방문 인지강화 프로그램, 경로당 치매예방 프로그램, 치매가족  헤아림 프로그램,치매가족 헤아림 교육, 자조모임 사랑회 운영, 치매치료관리비 지원",033-639-2926,강원도 속초시 보건소,강원도 속초시
서울특별시,종로구,종로구 치매안심센터,치매안심센터,서울특별시 종로구 평창문화로 50,서울특별시 종로구 평창동 235-2,37.60542184,126.9669268,서울대학교병원,02-3675-9001,"치매예방 및 인식개선사업,치매조기검진 사업,치매예방등록관리 사업,저소득층 치매치료비 및 원인확진검사비 지원 사업,치매지역사회자원강화 사업 등",02-2148-3603,서울특별시 종로구보건소,서울특별시 종로구
전라남도,화순군,화순군치매안심센터,치매안심센터,전라남도 화순군 화순읍 충의로 40,전라남도 화순군 화순읍 삼천리 701,35.055391,126.982021,화순군보건소,061-379-5317,"치매선별검사, 치매예방프로그램, 치매인지재활프로그램, 치매가족 지원, 치매치료관리비 지원 등",061-379-5315,전라남도 화순군 보건소,전라남도 화순군
충청남도,서천군,치매안심센터,치매안심센터,충청남도 서천군 서천읍 사곡길 20-2,충청남도 서천군 서천읍 군사리 803,36.0817289,126.6887353,서천군보건소,041-950-6741,"치매조기검진, 치매환자가족지원",041-950-4055,충청남도 서천군청,충청남도 서천군
대구광역시,수성구,치매안심센터,치매안심센터,대구광역시 수성구 수성로 213,,35.84495927,128.6119385,수성구보건소,053-666-3181,"치매조기검진, 치매환자 및 가족 프로그램운영, 인식개선활동 및 홍보 등",053-666-4866,대구광역시 수성구보건소,대구광역시 수성구
전라북도,순창군,순창군 치매안심센터,치매안심센터,전라북도 순창군 순창읍 교성로 135,전라북도 순창군 순창읍 교성리 418,35.36710476,127.1436245,전라북도 순창군 보건의료원,063-650-5247,찾아가는 경로당 치매예방교실+치매고위험군 인지증진프로그램+치매가족지지 프로그램 헤아림+치매조기검진,063-650-5247,전라북도 순창군 보건의료원,전라북도 순창군
인천광역시,동구,인천광역시 동구 치매안심센터,치매안심센터,인천광역시 동구 방축로 193,인천광역시 동구 송림동 297-20,37.479893,126.666572,인천광역시 동구보건소,032-772-6307,상담 및 등록관리+치매 조기검진+치매예방관리+치매환자 쉼터 운영+치매지원 서비스+치매가족 및 보호자 지원사업+치매 인식개선 및 교육·홍보 사업+치매 안심마을 운영,032-772-6307,인천광역시 동구보건소,인천광역시 동구
인천광역시,동구,인천광역시 동구 구립 치매전담형 주간보호센터 동구동락,치매안심센터,인천광역시 동구 방축로 193,인천광역시 동구 송림동 297-20,37.479893,126.666572,인천광역시 의료원,032-575-0019,치매환자 신체활동 지원+기능 회복훈련+건강 및 간호관리+인지관리+치매환자와 가족에 대한 교육 및 지원,032-760-4932,인천광역시 동구보건소,인천광역시 동구
대전광역시,대덕구,대전광역시 대덕구 치매안심센터,치매안심센터,"대전광역시 대덕구 동춘당로 187, 3층","대전광역시 대덕구 법동 192-1, 3층",36.367296,127.430828,대전광역시 대덕구보건소,042-608-5499,무료 치매검사+치매 가족교육+치매 예방교육+조호물품 제공+인지훈련 등,042-608-6114,대전광역시 대덕구,대전광역시 대덕구
경기도,오산시,오산시치매안심센터,치매안심센터,경기도 오산시 경기동로59,경기도 오산시 오산동 25,37.159323,127.0778335,오산시보건소,031-8036-6633,"치매환자 등록관리, 치매조기검사, 치매극복의날 기념행사, 치매예방프로그램, 인지재활프로그램, 가족헤아림교실, 치매안심마을운영 등",031-8036-8036,경기도 오산시청,경기도 오산시
전라남도,구례군,구례군치매안심센터,치매안심센터,전라남도 구례군 구례읍 동편제길 30,전라남도 구례군 구례읍 백련리 576,35.21607284,127.4617801,구례군보건의료원,061-780-2023,치매쉼터프로그램+치매예방교실+인지강화 교실,061-780-2006,전라남도 구례군,전라남도 구례군
