구분,돈,시도,제목,제공유형,장소,기간,문의처
국악,유료,대구광역시,"대구문화예술회관판소리 완창시리즈, 김진아의 보성소리: 성창순 바디 심청가",오프라인,대구문화예술회관,2022-11-05~2022-11-05,"대구문화예술회관 053-606-6135, 6133"
뮤지컬/오페라,무료,인천광역시,박쥐 [인천],오프라인,인천학생교육문화회관,2022-11-05~2022-11-05,인천학생교육문화회관 032-760-3538
음악/콘서트,유료,서울특별시,시작은 마흔이었다,오프라인,JCC아트센터,2022-11-05~2022-11-05,현대문화기획 02-2266-1307
음악/콘서트,유료,경기도,"MEG아트홀 기획연주 39, 더 패밀리 콘서트: 하모니카 판타지",오프라인,MEG아트홀,2022-11-05~2022-11-05,MEG아트홀 010-9458-5310
음악/콘서트,유료,대구광역시,시네마 클래식 데이 [대구],오프라인,아양아트센터,2022-11-05~2022-11-05,대구동구문화재단 공연기획팀 053-230-3316
음악/콘서트,유료,경기도,"토요 브런치 콘서트, 로스팅 시리즈 8: French",오프라인,김포아트홀,2022-11-05~2022-11-05,김포아트홀 031-996-1605
연극,유료,충청남도,신뺑파전 [보령],오프라인,보령문화예술회관,2022-11-05~2022-11-05,보령문화예술회관 041-930-3427
음악/콘서트,유료,전라북도,이은정 바이올린 독주회 [전주],오프라인,한국소리문화의전당,2022-11-05~2022-11-05,010-4466-0540
음악/콘서트,유료,서울특별시,바리톤 석상근 독창회,오프라인,푸르지오 아트홀,2022-11-05~2022-11-05,툴뮤직 02-3443-5702
음악/콘서트,유료,서울특별시,"(사)홍정희오페라단 오페라 갈라콘서트, 별이 빛나는 밤에",오프라인,국립극장 하늘극장,2022-11-05~2022-11-05,리드예술기획 02-518-9792 / (사)홍정희 오페라단 02-3473-3170
음악/콘서트,유료,서울특별시,"박물관으로간피아노, 박종성 & 김진세",오프라인,목인박물관,2022-11-05~2022-11-05,목인박물관 02-722-5055 / 포스트스트라디움 010-3599-4501
음악/콘서트,유료,서울특별시,베이스 구본수 콘서트,오프라인,윤당아트홀,2022-11-05~2022-11-05,라이브러리컴퍼니 070-4190-1289
무용/발레,유료,서울특별시,"제15회 K-Ballet World, 월드발레스타갈라",오프라인,국립극장 해오름극장,2022-11-05~2022-11-05,한국발레협회 02-538-0505
음악/콘서트,유료,대전광역시,"대전시립교향악단 마스터즈시리즈11, 낭만에서 신고전까지",오프라인,대전시립연정국악원,2022-11-05~2022-11-05,대전시립교향악단 042-270-8382~8
뮤지컬/오페라,무료,대구광역시,나르키소스 [대구],오프라인,달서아트센터,2022-11-05~2022-11-05,지오뮤직 010-3049-2731
국악,유료,서울특별시,청춘만발 콘서트,오프라인,세실극장,2022-11-05~2022-11-05,국립정동극장 세실 02-751-1500
음악/콘서트,유료,서울특별시,최인 기타 리사이틀,오프라인,영산아트홀,2022-11-05~2022-11-05,피셔인젤 예술기획 070-4220-3287
기타,유료,경기도,"음악으로 그리는 일곱 가지 반 고흐, 별이 빛나는 밤에 [남양주]",오프라인,다산아트홀,2022-11-05~2022-11-05,"다산아트홀 031-590-4358, 4361"
연극,유료,서울특별시,"유라시아셰익스피어극단(ESTC), 로미오&줄리엣(Romeo&Juliet) [노원]",오프라인,노원문화예술회관,2022-11-05~2022-11-05,노원문화재단 02-2289-3400
뮤지컬/오페라,유료,경상남도,사과가 쿵 [경주],오프라인,경주예술의전당,2022-11-05~2022-11-05,한울엔터테인먼트 1566-7754
뮤지컬/오페라,유료,충청북도,아기돼지 삼형제 [증평],오프라인,증평문화회관,2022-11-05~2022-11-05,인터파크 1544-1555
음악/콘서트,유료,서울특별시,김재준 첼로 독주회,오프라인,예술의전당 인춘아트홀,2022-11-05~2022-11-05,JJ예술기획 02-511-1920
국악,유료,경기도,신노이 SINNOI [수원],오프라인,수원SK아트리움,2022-11-05~2022-11-05,수원SK아트리움 031-250-5300
음악/콘서트,유료,경기도,불후의 클래식 [여주],오프라인,세종국악당,2022-11-05~2022-11-05,여주세종문화재단 031-881-9681
음악/콘서트,무료,강원도,제25회 춘천시립청소년교향악단 정기연주회,오프라인,춘천문화예술회관,2022-11-05~2022-11-05,"춘천시립예술단 033-259-5869, 5879"
뮤지컬/오페라,유료,광주광역시,잔니스키키,오프라인,국립아시아문화전당,2022-11-05~2022-11-05,국립아시아문화전당 1899-5566
뮤지컬/오페라,유료,전라남도,누가 내 머리에 똥 쌌어? [해남],오프라인,해남문화예술회관,2022-11-05~2022-11-05,극단 국민 010-4095-3005
국악,유료,경기도,가장무도: 일상을 위한 일탈 [광명],오프라인,광명시민회관,2022-11-05~2022-11-05,광명문화재단 02-2621-8845
음악/콘서트,무료,경기도,"아트시그널 고양 마스터즈 3, 김주영",오프라인,고양아람누리 아람음악당,2022-11-05~2022-11-05,고양문화재단 1577-7766
음악/콘서트,유료,경상남도,테너 존노 리사이틀 [함안],오프라인,함안문화예술회관,2022-11-05~2022-11-05,함안문화예술회관 055-580-3623~3627
음악/콘서트,유료,인천광역시,권나경 플루트 독주회 [인천],오프라인,엘림아트센터,2022-11-05~2022-11-05,엘림아트센터 032-289-4275
음악/콘서트,유료,서울특별시,협성대학교 피아노과 교수 음악회,오프라인,세종문화회관 체임버홀,2022-11-05~2022-11-05,컬처파크209 02-556-0209
뮤지컬/오페라,유료,대구광역시,"봉포유 라온스테이지 IV, EG뮤지컬컴퍼니",오프라인,봉산문화회관,2022-11-05~2022-11-05,봉산문화회관 053-661-3521
음악/콘서트,유료,서울특별시,"아름다운 목요일, 스페셜 콘서트: 트리오 서울 (11.5)",오프라인,금호아트홀 연세,2022-11-05~2022-11-05,금호문화재단 02-6303-1977
음악/콘서트,유료,인천광역시,파비오 비온디 & 에우로파 갈란테: 사계 [인천],오프라인,아트센터 인천,2022-11-05~2022-11-05,아트센터인천 032-453-7700
음악/콘서트,유료,서울특별시,김선욱 & 유럽 챔버 오케스트라 (11.05),오프라인,예술의전당 콘서트홀,2022-11-05~2022-11-05,빈체로 02-599-5743
국악,유료,경기도,"k-남사당놀이, 판: 박첨지",오프라인,안양아트센터,2022-11-05~2022-11-05,"안양아트센터 031-687-0500, 0555"
음악/콘서트,유료,울산광역시,펠릭스 클리저 호른 리사이틀 [울산],오프라인,현대예술관,2022-11-05~2022-11-05,현대예술관 1522-3331
뮤지컬/오페라,유료,서울특별시,피노키오 [서울 서대문],오프라인,서대문문화체육회관,2022-11-05~2022-11-05,극단 희망 010-2258-9411
연극,유료,인천광역시,염쟁이 유씨 [인천],오프라인,부평아트센터 달누리극장,2022-11-05~2022-11-05,부평아트센터 032-500-2000
국악,무료,서울특별시,[야광명월(夜光明月)] 그루브앤드,오프라인,서울돈화문국악당,2022-11-05~2022-11-05,02-3210-7001
음악/콘서트,유료,서울특별시,정한빈 피아노 리사이틀 - 친애하는 프란츠에게,오프라인,예술의전당 IBK챔버홀,2022-11-05~2022-11-05,스톰프뮤직 02-2658-3546
전시,무료,광주광역시,지구의 시간,오프라인,국립아시아문화전당,2022-07-01~2022-11-06,1899-5566
뮤지컬/오페라,유료,서울특별시,미세스 다웃파이어,오프라인,샤롯데씨어터,2022-08-30~2022-11-06,주식회사 스튜디오선데이 070-8260-0705
뮤지컬/오페라,유료,경기도,토끼와거북이 [수원],오프라인,KBS수원아트홀,2022-09-10~2022-11-06,031-216-5201
뮤지컬/오페라,유료,서울특별시,삼총사,오프라인,유니버설아트센터,2022-09-16~2022-11-06,글로벌컨텐츠 02-2051-1698
뮤지컬/오페라,유료,경기도,신데렐라 [광명],오프라인,소나무극장,2022-09-17~2022-11-06,010-2224-2719
뮤지컬/오페라,유료,서울특별시,헬로마마 [서울],오프라인,명작극장,2022-10-01~2022-11-06,대영뮤지컬컴퍼니 02-712-7080
연극,유료,서울특별시,눈을 뜻하는 수백 가지 단어들 (앵콜),오프라인,드림아트센터,2022-10-13~2022-11-06,(주)엠피앤컴퍼니 02-744-4033
연극,유료,강원도,금따는 콩밭,오프라인,아트팩토리 봄,2022-10-14~2022-11-06,아트팩토리 봄 033-263-7222
뮤지컬/오페라,유료,경기도,앨리스 인 원더랜드 [수원],오프라인,광교레이크아트홀,2022-10-15~2022-11-06,광교레이크아트홀 031-216-7179
뮤지컬/오페라,유료,서울특별시,우당탕 커다란 순무뽑기 대소동 [서울],오프라인,상상나라극장,2022-10-15~2022-11-06,인터파크 1544-1555
연극,유료,서울특별시,"제7회 늘푸른연극제, 겹괴기담",오프라인,더 줌 아트센터,2022-10-21~2022-11-06,더줌아트센터 02-790-6792~3
연극,유료,서울특별시,속살,오프라인,서완소극장 (구 씨어터고리),2022-10-25~2022-11-06,010-5701-3477
연극,유료,서울특별시,졸업,온(오프)라인,동숭무대 소극장,2022-10-26~2022-11-06,010-8528-4130 (문자만)
연극,유료,서울특별시,해피투게더,오프라인,연우소극장,2022-10-26~2022-11-06,010-9308-5728
연극,유료,서울특별시,쓱싹쓱싹,오프라인,극장 PLOT (구 1M SPACE),2022-10-26~2022-11-06,인터파크 1544-1555
연극,유료,서울특별시,표절 작가,오프라인,대학로 스튜디오 76,2022-10-26~2022-11-06,010-4514-5328
국악,유료,서울특별시,"이희문 쏭폼스토리즈, 강남오아시스",오프라인,세종문화회관 S씨어터,2022-10-27~2022-11-06,세종문화회관 02-399-1000
연극,유료,서울특별시,"웰컴 대학로, 건달은 개뿔",오프라인,서경대학교 공연예술센터(혜화역),2022-10-27~2022-11-06,아트리버 02-6498-0403
국악,유료,서울특별시,이희문 쏭폼스토리즈 <강남오아시스>,오프라인,세종문화회관 S씨어터,2022-10-27~2022-11-06,02-399-1000
연극,유료,서울특별시,즐거운 너의 집,오프라인,미아리고개예술극장,2022-10-28~2022-11-06,얄라리얄라 yallariyalla012@gmail.com / 인터파크 1544-1555
뮤지컬/오페라,유료,부산광역시,우연히 행복해지다 [부산],오프라인,경성대학교소극장,2022-10-28~2022-11-06,극단 바라 1600-1716
무용/발레,유료,서울특별시,"유니버설발레단, 오네긴",오프라인,예술의전당 오페라극장,2022-10-29~2022-11-06,유니버설발레단 070-7124-1734
뮤지컬/오페라,유료,충청남도,팥죽할멈과 호랑이 [천안],오프라인,홈플러스천안신방점소극장,2022-10-29~2022-11-06,홈플러스천안신방점 소극장 041-578-1090
연극,유료,서울특별시,지하비행사,오프라인,연희예술극장,2022-11-02~2022-11-06,인스타그램 @play_hyeyum / 인터파크 1544-1555
뮤지컬/오페라,유료,서울특별시,"웰컴 대학로, 마리오네트",오프라인,서경대학교 공연예술센터(혜화역),2022-11-02~2022-11-06,(주)예술인 02-548-4480
연극,유료,서울특별시,쥐 덫,오프라인,소극장 공유(구.키작은소나무극장),2022-11-03~2022-11-06,인터파크 1544-1555
연극,유료,서울특별시,선물,오프라인,보광극장,2022-11-03~2022-11-06,010-5140-1105
연극,유료,서울특별시,"제12회 미래연극제, 문병재 유머코드에 관한 사적인 보고서",오프라인,씨어터쿰,2022-11-03~2022-11-06,서울연극협회 02-765-7500
전시,무료,서울특별시,eXplainable Human,오프라인,갤러리 지하,2022-11-04~2022-11-06,010-2970-8976
연극,유료,서울특별시,세상을 편력하는 두 기사 이야기: 돈키호테로부터,오프라인,씨어터 조이(구 마당세실극장),2022-11-04~2022-11-06,010-2868-5659
무용/발레,유료,서울특별시,Universe in Me,오프라인,플랫폼엘 컨템포러리 아트센터,2022-11-04~2022-11-06,인터파크 1544-1555
연극,유료,대전광역시,스카팽 [대전],오프라인,대전예술의전당,2022-11-04~2022-11-06,대전예술의전당 042-270-8333
연극,유료,경상남도,리어왕 [진주],오프라인,경상남도 문화예술회관,2022-11-04~2022-11-06,경남도립예술단 055-254-4695
뮤지컬/오페라,유료,서울특별시,제1회 윤악당뮤지컬밴드 정기공연,오프라인,서울생활문화센터 서교,2022-11-05~2022-11-06,02-6351-7533 / 010-4702-8816
연극,유료,경기도,블랙코메디 [안산],오프라인,안산문화예술의전당,2022-11-05~2022-11-06,010-4916-2703
연극,무료,광주광역시,뉴 일루전 쇼케이스,오프라인,국립아시아문화전당,2022-11-05~2022-11-06,국립아시아문화전당 1899-5566
연극,무료,제주특별자치도,"화해, 인간애의 아름다운 하모니 해경무렵",오프라인,서귀포예술의전당,2022-11-05~2022-11-06,서귀포예술의전당 064-760-3368 / 064-722-0794
연극,유료,서울특별시,프리랜서 박 과장 실종사건,오프라인,소극장피카소,2022-11-05~2022-11-06,카카오채널 예술집단 멩이 / 인스타그램 meng_iiii / 인터파크 1544-1555
뮤지컬/오페라,유료,서울특별시,이상한 날씨로 여행을 갈까요?,오프라인,서서울예술교육센터,2022-11-05~2022-11-06,서서울예술교육센터 02-2697-2600
연극,유료,대구광역시,"작은 무대에 부는 바람, 정크, 클라운 [대구]",오프라인,한울림 소극장,2022-11-05~2022-11-06,한울림소극장 053-246-2925
연극,유료,서울특별시,"제22회 월드 2인극 페스티벌, 머리맡",오프라인,대학로 예술공간 혜화,2022-11-05~2022-11-06,2인극페스티벌 조직위원회 070-7776-6613
연극,유료,경상남도,"작은 무대에 부는 바람, 호야 내 새끼 2",오프라인,현장아트홀,2022-11-05~2022-11-06,한국연극협회 경상남도지회 055-746-7413
연극,유료,서울특별시,패크랫 [서울 마포],오프라인,문화비축기지,2022-11-05~2022-11-06,02-2633-2071
연극,유료,경상남도,"작은 무대에 부는 바람, 사평역",오프라인,소극장 공터다,2022-11-05~2022-11-06,사단법인 문화창작집단공터다 054-444-0604
연극,유료,광주광역시,"제25회 광주소극장축제, 향교품바",오프라인,예린소극장,2022-11-05~2022-11-06,광주소극장협회 062-222-7008 / 010-4701-7300
뮤지컬/오페라,유료,광주광역시,브레드이발소: 대결! 최고의 이발사 [광주],오프라인,5.18 기념문화회관 민주홀,2022-11-05~2022-11-06,티켓링크 1588-7890
뮤지컬/오페라,유료,부산광역시,"민쩌미, 사랑해요 엄마! [부산(앵콜)]",오프라인,KBS부산홀,2022-11-05~2022-11-06,동그라미그리기 1577-4868
뮤지컬/오페라,유료,대구광역시,프린세스공주 [대구],오프라인,신세계 문화홀 대구점,2022-11-05~2022-11-06,좋은사람들 070-4045-2302
연극,유료,서울특별시,"제6회 구로꿈나무인형극제, 배고파",오프라인,구로꿈나무극장,2022-11-05~2022-11-06,구로꿈나무극장 02-830-2561~2 / 2508
뮤지컬/오페라,유료,전라남도,바다탐험대 옥토넛 시즌2: 대산호초 보호작전 [목포],오프라인,목포시민문화체육센터 대공연장,2022-11-05~2022-11-06,1800-7672
뮤지컬/오페라,유료,강원도,엘사의 생일파티 [속초],오프라인,속초문화예술회관,2022-11-05~2022-11-06,극단 예일 02-555-0822~3
뮤지컬/오페라,유료,부산광역시,더퀸: 선덕여왕의 귀환 [부산],오프라인,동래문화회관대극장,2022-11-05~2022-11-06,플레이더부산 1600-0316
뮤지컬/오페라,유료,인천광역시,수박수영장 [인천],오프라인,부평아트센터 해누리 극장,2022-11-05~2022-11-06,에이엠컬처 02-6413-3698
뮤지컬/오페라,유료,강원도,시크릿쥬쥬 시즌3: 별의 여신 마지막콘서트 [강릉],오프라인,강릉아트센터 사임당홀,2022-11-05~2022-11-06,동그라미그리기 1577-4868
뮤지컬/오페라,유료,제주특별자치도,꼬마버스 타요와 하하호호 노래자랑 [제주],오프라인,제주대학교 한라아트홀,2022-11-05~2022-11-06,파이오니아 1811-8202
뮤지컬/오페라,유료,경상남도,캐리TV 러브콘서트: KPOP [창원],오프라인,KBS 창원홀,2022-11-05~2022-11-06,동그라미그리기 1577-4868
뮤지컬/오페라,유료,전라북도,번개맨: 우주최강 번개삼총사 [익산],오프라인,익산예술의전당 대공연장,2022-11-05~2022-11-06,하늘이엔티 1688-6675
뮤지컬/오페라,유료,경기도,급식왕: 발가락 떡볶이의 비밀 [안산],오프라인,안산문화예술의전당,2022-11-05~2022-11-06,인스타컴퍼니 1522-2061
뮤지컬/오페라,유료,경기도,신데렐라 [용인],오프라인,용인문화예술회관,2022-11-05~2022-11-06,좋은사람들 070-4045-2302
뮤지컬/오페라,유료,경상남도,캐치! 티니핑 프린세스 다이어리 [김해],오프라인,김해서부문화센터 하늬홀,2022-11-05~2022-11-06,동그라미그리기 1577-4868
뮤지컬/오페라,유료,대전광역시,프린세스 공주 [대전],오프라인,평송청소년문화센터,2022-11-05~2022-11-06,조이컬쳐 010-9611-2073
뮤지컬/오페라,유료,강원도,고고다이노 우리동네공룡 [원주],오프라인,원주백운아트홀,2022-11-05~2022-11-06,원앤원 1688-8616
뮤지컬/오페라,유료,충청남도,콩순이 시즌2: 우리들 음악회 [천안],오프라인,천안시민문화여성회관 성환분관,2022-11-05~2022-11-06,동그라미그리기 1577-4868
뮤지컬/오페라,유료,경기도,신비아파트 시즌5: 감염된 도시의 비밀 [고양],오프라인,고양어울림누리,2022-11-05~2022-11-06,동그라미그리기 1577-4868
연극,유료,세종특별자치시,[집밖] 지지직 신비한라디오 [세종],오프라인,세종문화예술회관,2022-11-06~2022-11-06,인터파크 1544-1555
연극,무료,서울특별시,Good doctor,오프라인,피움스튜디오,2022-11-06~2022-11-06,010-2237-0284
뮤지컬/오페라,무료,광주광역시,"빛고을 어린이 연극잔치, 도서관 생쥐",오프라인,국립아시아문화의전당 어린이문화원,2022-11-06~2022-11-06,교육극단 파랑새 062-514-4328
국악,무료,서울특별시,"김철진, 신지희의 산조 연",오프라인,국립국악원 풍류사랑방,2022-11-06~2022-11-06,모아모아프로덕션 010-4035-9488
음악/콘서트,유료,경기도,김포필하모닉오케스트라 창작공연: 조 강,오프라인,김포아트홀,2022-11-06~2022-11-06,김포필하모닉오케스트라 031-983-4150
국악,유료,서울특별시,제4회 박병재 대금독주회,오프라인,서울돈화문국악당,2022-11-06~2022-11-06,모아모아프로덕션 010-5709-0955
국악,무료,경상남도,제10회 영천아리랑 대축제,오프라인,영천시민회관,2022-11-06~2022-11-06,영천시민회관 054-330-6680
음악/콘서트,유료,울산광역시,시네마 클래식 데이 [울산],오프라인,울산문화예술회관,2022-11-06~2022-11-06,울산문화예술회관 052-275-9623
국악,유료,서울특별시,제4회 박병재 대금독주회 여세추이Ⅱ（자작곡 발표회）,오프라인,서울돈화문국악당,2022-11-06~2022-11-06,010 5709 0955
국악,무료,서울특별시,"김철진, 신지희의 산조 ‘緣(연)’",오프라인,국립국악원 풍류사랑방,2022-11-06~2022-11-06,010 4035 9488
음악/콘서트,유료,서울특별시,창립 63주년 기념 한국기타협회정기연주회,오프라인,세종문화회관 체임버홀,2022-11-06~2022-11-06,한국기타협회 02-795-7551
음악/콘서트,무료,광주광역시,ACC 시민오케스트라,오프라인,국립아시아문화전당,2022-11-06~2022-11-06,국립아시아문화전당 1899-5566
음악/콘서트,유료,서울특별시,권명 바이올린 독주회,오프라인,예술의전당 리사이틀홀,2022-11-06~2022-11-06,예인예술기획 02-586-0945
음악/콘서트,유료,서울특별시,김준희 피아노 독주회,오프라인,금호아트홀 연세,2022-11-06~2022-11-06,이든예술기획 02-6412-3053
음악/콘서트,유료,서울특별시,바리톤 문경재 귀국 독창회,오프라인,영산아트홀,2022-11-06~2022-11-06,예술기획 파홀로 02-582-0040
음악/콘서트,유료,서울특별시,콰르텟 솔 정기연주회,오프라인,예술의전당 IBK챔버홀,2022-11-06~2022-11-06,조인클래식 02-525-6162
음악/콘서트,유료,서울특별시,정영미 귀국 바이올린 독주회,오프라인,예술의전당 리사이틀홀,2022-11-06~2022-11-06,예인예술기획 02-586-0945
국악,무료,부산광역시,부산시립국악관현악단 실내악 향연,오프라인,영화의 전당 하늘연극장,2022-11-06~2022-11-06,영화의전당 051-780-6060 / 부산시립국악관현악단 051-607-3121
무용/발레,유료,광주광역시,"제25회 광주소극장축제, The Outpouring of Youth: Movement",오프라인,예술극장 통,2022-11-06~2022-11-06,광주소극장협회 062-222-7008 / 010-4701-7300
음악/콘서트,유료,서울특별시,바리톤 문경재 귀국 독창회,오프라인,영산아트홀,2022-11-06~2022-11-06,예술기획파홀로 02-582-0040
음악/콘서트,유료,대전광역시,제43회 메시야필하모닉오케스트라 정기연주회,오프라인,대전시립연정국악원,2022-11-06~2022-11-06,유진예술기획 1661-0461 / 대전시립연정국악원 042-270-8585
뮤지컬/오페라,유료,경기도,피노키오 [안산],오프라인,안산올림픽기념관,2022-11-06~2022-11-06,극단 희망 010-2258-9411
음악/콘서트,유료,세종특별자치시,윤이상국제음악콩쿠르 입상자 콘서트 [세종],오프라인,세종 예술의전당,2022-11-06~2022-11-06,세종예술의전당 044-850-8922
뮤지컬/오페라,유료,전라북도,누가 내 머리에 똥 쌌어? [정읍],오프라인,정읍사예술회관,2022-11-06~2022-11-06,극단 국민 010-4095-3005
음악/콘서트,유료,대구광역시,손민수 피아노 리사이틀 [대구],오프라인,아양아트센터,2022-11-06~2022-11-06,목프로덕션 02-338-3816
음악/콘서트,유료,서울특별시,채수아 피아노 독주회,오프라인,예술의전당 인춘아트홀,2022-11-06~2022-11-06,좋은 피아노 교사 070-4307-7874
뮤지컬/오페라,유료,경기도,겨울왕국: 겨울이야기 [동두천],오프라인,동두천시민회관,2022-11-06~2022-11-06,극단 희망 010-2258-9411
음악/콘서트,유료,서울특별시,차이코프스키 더 마스터피스,오프라인,예술의전당 콘서트홀,2022-11-06~2022-11-06,"두남재엔터테인먼트 02-6292-9368, 9370"
음악/콘서트,유료,서울특별시,오민정 오보에 독주회,오프라인,금호아트홀 연세,2022-11-06~2022-11-06,예인예술기획 02-586-0945
음악/콘서트,유료,서울특별시,안드라스 쉬프 피아노 리사이틀 [서울],오프라인,롯데콘서트홀,2022-11-06~2022-11-06,마스트미디어 02-541-2512
뮤지컬/오페라,유료,경상남도,겨울왕국: 겨울이야기 [김해],오프라인,김해칠암도서관,2022-11-06~2022-11-06,인터파크 1544-1555
음악/콘서트,유료,인천광역시,심포니 오브 메이플스토리 전국투어 [인천],오프라인,아트센터 인천,2022-11-06~2022-11-06,스톰프뮤직 02-2658-3546
국악,무료,서울특별시,[야광명월(夜光明月)] 월드뮤직그룹 공명,오프라인,서울돈화문국악당,2022-11-06~2022-11-06,02-3210-7001
음악/콘서트,유료,서울특별시,안드라스 쉬프 피아노 리사이틀,오프라인,롯데 콘서트홀,2022-11-06~2022-11-06,02-541-2512
음악/콘서트,유료,인천광역시,"2022 카즈미 타테이시 트리오 내한 공연-지브리, 재즈를 만나다(인천)",오프라인,인천문화예술회관,2022-11-06~2022-11-06,070-8680-8477
뮤지컬/오페라,유료,서울특별시,브론테,오프라인,자유극장,2022-09-04~2022-11-07,070-8095-9734
음악/콘서트,유료,서울특별시,이자윤 바이올린 독주회,오프라인,금호아트홀 연세,2022-11-07~2022-11-07,이든예술기획 02-6412-3053
음악/콘서트,유료,서울특별시,신동일 파이프오르간 독주회,오프라인,롯데콘서트홀,2022-11-07~2022-11-07,영음예술기획 02-581-5404
