시도,시군구,건강증진센터명,건강증진센터구분,소재지도로명주소,위도,경도,건강증진업무내용,운영기관전화번호,건강증진사업내용
충청북도,단양군,단양군 CCTV통합관제센터 체력단련실,건강증진,충청북도 단양군 단양읍 별곡1로 17,36.98473681,128.3674437,체력단련실,043-420-3277,
충청남도,논산시,논산시건강생활지원센터,건강증진,충청남도 논산시 해월로125번길 26,36.20478393,127.0822907,"건강증진프로그램운영, 대사증후군관리 등",041-746-8027,
충청남도,천안시,성정건강생활지원센터,건강증진,충청남도 천안시 서북구 서부8길 29,36.8197764,127.1398813,"만성질환관리, 영양관리, 운동관리, 구강관리",041-521-2584,
충청북도,옥천군,옥천군보건소 건강증진센터,건강증진,충청북도 옥천군 옥천읍 삼양로8길 10,36.30448958,127.5697187,건강증진사업,043-730-2121,
대구광역시,중구,대구광역시 중구정신건강복지센터,정신보건,대구광역시 중구 태평로 45,35.87790606,128.583346,"중증정신질환자 관리 및 아동청소년 정신건강 서비스,  지역주민 정신건강증진,  자살예방 및 위기대응",053-256-2900,
전라남도,구례군,구례군 보건의료원 건강증진센터,건강증진,전라남도 구례군 구례읍 동편제길 30,35.216048,127.4617801,"운동상담, 영양상담, 금연상담, 대사증후군 관리, 물리치료실, 모바일 헬스케어 관리",061-780-2017,
대구광역시,수성구,대구수성구정신건강복지센터,정신보건,대구광역시 수성구 수성로 213,35.844919,128.6119385422,"중증정신질환자관리사업, 아동청소년정신보건사업, 자살예방사업, 정신건강증진사업",053-756-5860,
대구광역시,수성구,대구수성구보건건강생활지원센터,건강증진,대구광역시 수성구 욱수천로 99,35.8369885032,128.7128212323,"대사증후군관리, 영양, 구강, 금연, 운동, 방문건강, 모자보건사업",053-666-3163,
부산광역시,남구,남구정신건강복지센터,정신보건,부산광역시 남구 유엔평화로4번길 61,35.134251,129.088534,정신건강상담 및 프로그램 운영,051-626-4660,
경상북도,영주시,경상북도영주시보건소정신건강복지센터,정신보건,경상북도 영주시 영주로159번길 73,36.82876293,128.6159883,"통합정신건강증진사업, 자살예방사업, 중증정신질환 등록관리",054-639-5728,
광주광역시,광산구,송광정신재활센터,정신보건,광주광역시 광산구 우산로 17,35.15982359,126.8041452,정신질환자 재활프로그램 운영 및 사회복귀 도모,062-841-8250,
광주광역시,동구,광주동구치매안심센터,정신보건,"광주광역시 동구 서남로 14, 7층",35.14495096,126.923163,치매예방관리,062-608-3490,
광주광역시,동구,지원건강생활지원센터,건강증진,"광주광역시 동구 지원로 31-9, 2층",35.125318,126.935176655,"만성질환예방 및 관리사업, 신체활동, 영양, 비만, 재활, 건강체험관 운영",062-608-3950,
서울특별시,강북구,강북구민건강관리센터(삼각산분소),건강증진,서울특별시 강북구 삼양로19길 154,37.6170482,127.015605,"호흡기환자진료센터, 건강운동지원실 운영, 어린이체험관 운영",02-901-4801,
광주광역시,광산구,광역정신건강복지센터,정신보건,광주광역시 광산구 무진대로 246,35.16108692,126.807107,"정신건강사업 기획, 홍보, 매뉴얼 개발, 지역사회 네트워크 구축 등",062-600-1930,
서울특별시,노원구,노원구정신건강복지센터,정신보건,서울특별시 노원구 노해로 455,37.65416667,127.0585199,정신질환자 등록관리,02-2116-4591,
경상남도,남해군,남해군정신건강복지센터,정신보건,경상남도 남해군 남해읍 선소로 6,34.84474988,127.8987857,"중증정신질환자관리, 주간재활프로그램운영",055-860-8785,
서울특별시,강남구,수서동건강증진센터,건강증진,서울특별시 강남구 밤고개로1길 52,37.48900105,127.1052745,"대사증후군관리,만성질환관리",02-3423-8773,
서울특별시,강남구,세곡동건강증진센터,건강증진,서울특별시 강남구 밤고개로 286,37.4690094,127.1069041,"대사증후군관리,만성질환관리,고혈압,당뇨 교육",02-3423-8688,
인천광역시,계양구,효성건강생활지원센터,건강증진,인천광역시 계양구 봉오대로543번길 21,37.532549,126.7086103178,"만성질환등록관리, 교육 프로그램 운영, 기타서비스제공(금연클리닉, 불소용액 배부, 모자보건 상담 등)",032-430-7793,
서울특별시,강서구,강서구정신건강복지센터,정신보건,"서울특별시 강서구 공항대로 561, B1층",37.54964994,126.8682802,"중증정신질환관리, 정신건강상담, 자살예방, 알코올중독예방 등",02-2600-5926,
전라북도,익산시,익산시정신건강복지센터,건강증진,전라북도 익산시 무왕로 975,35.96098753,126.9664376,"정신건강증진사업, 아동청소년 정신보건사업, 자살예방사업",063-841-4235,
경기도,남양주시,호평건강생활지원센터,건강증진,경기도 남양주시 호평로68번길 21,37.65456666,127.2489491,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",031-590-8084,
경기도,남양주시,화도건강생활지원센터,건강증진,경기도 남양주시 화도읍 비룡로 59,37.65784817,127.3007103,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",031-590-8434,
경기도,군포시,군포시정신복지센터(부설)자살예방센터,정신보건,경기도 군포시 군포로 221,37.3330901,126.9254149,"만성정신장애인 관리, 정신건강사업, 주간재활 프로그램운영, 자살예방사업, 아동청소년정신건강사업,생명존중 및 노인자살예방사업",031-461-1771,
충청남도,보령시,보령시보건소 건강증진센터,건강증진,충청남도 보령시 남포면 보령남로 234,36.32450916,126.6023712,"개인 운동상담 및 체성분 측정, 영양상담, 건강상담",041-930-5980,
서울특별시,중랑구,중랑구정신건강복지센터,정신보건,서울특별시 중랑구 면목로 238,37.5739185,127.0851055,중증정신질환자 등록 및 사례관리아동청소년 정신건강사업정신장애인 재활프로그램 운영정신건강상담,02-2276-7000,
강원도,인제군,인제군 정신건강증진센터,정신보건,강원도 인제군 인제읍 인제로 140번길 34,38.06327706,128.1685854,"정신건강증진센터운영(정신장애인 사회재활, 아동청소년 정신보건사업) 및 자살예방사업",033-461-2425,
울산광역시,중구,울산중구정신건강복지센터,정신보건,울산광역시 중구 외솔큰길 225,35.569483,129.350445,"중증정신건강사업, 자살예방사업, 아동 청소년 정신건강증진사업",052-292-2900,
울산광역시,중구,울산중구정신건강복지센터,정신보건,울산광역시 중구 외솔큰길 225,35.569483,129.350445,"중증정신건강사업, 자살예방사업, 아동 청소년 정신건강증진사업",052-292-2900,
경기도,이천시,이천시정신건강복지센터,정신보건,경기도 이천시 이섭대천로 1119(증일동) 2층,37.27052428,127.4454563,"정신건강증진, 아동청소년정신건강증진사업, 자살예방사업",031-637-2330,
경상남도,산청군,산청군 정신건강복지센터,정신보건,경상남도 산청군 산청읍 중앙로 97,35.41608206,127.8842381,"정신건강사업, 자살예방사업",055-970-7637,
부산광역시,강서구,부산광역시강서구정신건강복지센터,정신보건,"부산광역시 강서구 공항진입로 8, ㈜제이슨인터네셔날 2층",35.18133851,128.9575791,자살예방 및 정신건강증진 사업 등,051-973-3418,
경기도,광명시,광명시시민건강증진센터,건강증진,경기도 광명시 광명로 942-1,37.48278046,126.8562947,"건강기초검사, 상담, 어린이 건강체험관, 어르신 운동 프로그램 운영",02-2680-0967,
경기도,고양시,건강생활지원센터 고양,건강증진,경기도 고양시 덕양구 혜음로 19-11,37.7025182,126.9011953,"건강마을 만들기, 대사증후군 등록관리, 생애주기별 비만예방 프로그램",031-8075-4823,
경상남도,거창군,거창군정신건강복지센터,건강증진,경상남도 거창군 거창읍 거함대로 3079,35.6809363,127.8987274,"정신질환대상자 등록 관리, 주간재활프로그램 운영, 지역주민 정신건강상담 및 지원, 자살예방사업 등",055-940-8383,
전라남도,영광군,영광군정신건강복지센터,정신보건,전라남도 영광군 영광읍 신남로4길17,35.274681,126.504163,"정신질환자 사례관리및 상담 교육, 정신질환자 사회복귀을 위한 프로그램",061-350-4807,
전라남도,광양시,광양시건강증진센터,건강증진,전라남도 광양시 광양읍 인덕로 1100,34.98097674,127.5836111,"건강증진사업, 모바일헬스케어, 워크온",061-797-4103,
전라남도,광양시,광양시 정신건강복지센터,정신보건,전라남도 광양시 광양읍 인덕로 1100,34.98097674,127.5836111,"중증정신질환자 관리사업, 아동청소년 정신건강증진사업, 자살예방사업 등",061-797-3746,
전라남도,광양시,광양시치매안심센터,정신보건,전라남도 광양시 광양읍 호북길 13-3,34.98010194,127.5836111,"치매상담, 치매등록, 치매조기검진, 치매예방프로그램, 공공후견인사업, 치매안심마을, 치매인식개선 홍보, 지역 치매네크워크 구축, 치매환자 약제비 지원, 조호물품지급, 쉼터운영, 치매가족지원",061-797-4059,
경상북도,청도군,청도군건강증진센터,건강증진,경상북도 청도군 화양읍 청화로 79-11,35.64862487,128.7372615,"수영장, 헬스장운영",054-370-2669,
서울특별시,중구,중구정신건강복지센터,정신보건,서울특별시 중구 서소문로6길 16,37.559432,126.9662595,"중증 정신질환자 등록 관리사업,영유아 아동청소년 지원사업주민정신건강증진사업생명사랑사업 등",02-2236-6606,
경상북도,문경시,문경시정신건강복지센터,정신보건,경상북도 문경시 신흥로 165,36.59576737,128.2023884,"중증 정신질환자 관리사업, 정신건강증진·환경 조성사업, 자살예방사업",054-554-0802,
경기도,양평군,양평군 건강관리중앙센터,건강증진,"경기도 양평군 양평읍 마유산로 7, 보건소 뒤",37.49761932,127.486322,"운동, 질환, 영양, 심뇌혈관",031-770-2273,
경기도,양평군,양평군 건강관리서부센터,건강증진,"경기도 양평군 양서면 북한강로 38, 에코힐링센터내 3층",37.54711021,127.3215219,"운동, 질환, 영양, 심뇌혈관",031-770-3447,
경기도,양평군,양평군 건강관리동부센터(추가),건강증진,경기도 양평군 용문면 용문로 391 양평 동부청소년문화의집 내  3층,34.48702946,127.5958947,"운동, 질환, 영양, 심뇌혈관",031-770-3494,
대전광역시,서구,서구 보건소 건강증진센터,건강증진,대전광역시 서구 만년로 74,36.367062,127.3810998,"체성분 검사, 운동처방 운동프로그램",042-288-4545,
대전광역시,서구,서구 관저보건지소 건강증진센터,건강증진,대전광역시 서구 구봉산북로 300,36.301037,127.345007,"체성분 검사, 운동처방 운동프로그램",042-288-4634,
경기도,가평군,건강증진센터,건강증진,경기도 가평군 가평읍 가화로 155-9,37.8329564,127.5112146,"신체활동, 영양업무",031-580-2833,
대구광역시,남구,대구남구정신건강복지센터,정신보건,대구광역시 남구 영선길 34,35.853883,128.5915237,"중증정신질환자관리사업, 아동청소년정신보건사업, 자살예방사업, 정신건강증진사업",053-628-5863,
경상남도,밀양시,건강드림센터,건강증진,경상남도 밀양시 삼문중앙로 41,35.485619,128.756009,"맞춤 운동처방 및 영양상담, 지역특화 건강증진, 만성질환 관리 프로그램 운영",055-359-7056,
전라북도,정읍시,시민(어르신)건강증진센터,건강증진,전라북도 정읍시 수성1로 61,35.5779812453,126.8545209615,"만성질환건강상담,운동상담,영양상담,시민건강증진교육",063-539-6088,
부산광역시,북구,부산북구정신건강복지센터,정신보건,부산광역시 북구 만덕대로89번길 9(덕천동) 북구보건소 덕천지소 3층,35.2127675,129.0144018,"정신건강증진및재활, 생명존중자살예방, 아동청소년정신건강증진",051-334-3200,
강원도,강릉시,남부건강생활지원센터,건강증진,강원도 강릉시 성덕포남로 80-22,37.76324924,128.9188369,"모바일헬스케어사업, 소생활권맞춤형건강증진사업, 심뇌혈관질환예방관리사업, 한의약건강증진사업, 건강한성덕동만들기",033-660-2483,
강원도,태백시,태백시건강증진센터,건강증진,강원도 태백시 태백로 905,37.176676,128.9924305,건강증진,033-550-3039,
인천광역시,중구,중구정신건강복지센터,정신건강증진,인천광역시 중구 참외전로72번길 21,37.47721729,126.6291077,"정신건강사업, 생명피움사업, 종합자가검진 및 상담제공",032-760-6090,
충청북도,청주시,상당정신건강복지센터,정신보건,충청북도 청주시 상당구 남일면 단재로 480,36.5882642096,127.5059388388,"정신건강, 질병예방, 건강관리",043-298-0199,
충청북도,청주시,서원정신건강복지센터,정신보건,충청북도 청주시 서원구 구룡산로 235,36.61602197,127.4713297,"정신건강, 질병예방, 건강관리",043-291-0199,
충청북도,청주시,흥덕정신건강복지센터,정신보건,충청북도 청주시 흥덕구 비하로15번길 16,36.62858039,127.4242658,"정신건강, 질병예방, 건강관리",043-234-8686,
충청북도,청주시,청원정신건강복지센터,정신보건,충청북도 청주시 청원구 오창읍 과학산업3로 238,36.71040553,127.4304724,"정신건강, 질병예방, 건강관리",043-215-6868,
경기도,파주시,파주시정신건강복지센터,정신보건,경기도 파주시 조리읍 봉천로 68,37.74507915,126.8050097,정신질환예방 및 정신질환자 등록 관리,031-942-2117,
경상북도,울진군,울진군보건소,건강증진,경상북도 울진군 울진읍 읍내8길 61-8,36.99621755,129.4045994,"운동지도(운동, 운동실 기구이용), 영양상담(체지방측정 대사증후군)",054-789-5081,
인천광역시,미추홀구,건강증진120센터,건강증진,인천광역시 미추홀구 한나루로 444,37.44658054,126.667441,건강측정 및 건강상담,032-880-7475,
인천광역시,미추홀구,건강증진120센터,건강증진,인천광역시 미추홀구 소성로 339,37.43768332,126.6850043,건강측정 및 건강상담,032-728-6513,
인천광역시,미추홀구,건강증진120센터,건강증진,인천광역시 미추홀구 석정로 464,37.4658875,126.687304,건강측정 및 건강상담,032-861-9788,
인천광역시,미추홀구,건강증진120센터,건강증진,인천광역시 미추홀구 인주대로 198,37.45480121,126.658576,건강측정 및 건강상담,032-728-6177,
인천광역시,미추홀구,건강체력증진센터,건강증진,인천광역시 미추홀구 주안서로 52,37.46346603,126.678076,체력검사 및 맞춤운동프로그램 운영,032-876-0321,
서울특별시,영등포구,영등포구 정신건강복지센터,정신보건,서울특별시 영등포구 당산로 123(당산동3가),37.52596316,126.8963671,"정신건강 고위험군 조기발견 및 조기개입, 생애주기별 정신건강 예방사업, 정신건강 취약지역 사업자살위기개입 및 관리",02-2670-4793,
경기도,양주시,양주시 동부 건강생활지원센터,건강증진,경기도 양주시 화합로1426번길 90,37.83814235,127.0680351,통합건강증진사업 업무,031-8082-4341,
경기도,양주시,양주시 서부 건강생활지원센터,건강증진,경기도 양주시 광적면 부흥로 618번길 303,37.81249951,126.9723084,통합건강증진사업 업무,031-8082-4372,
경기도,수원시,수원시행복정신건강복지센터,정신보건,경기도 수원시 장안구 송원로 101,37.30402833,127.0103129,수원시마음건강 지원 사업 생애주기별 정신건강증진 및 질환예방사업 등 수원시 정신건강 비젼 및 계획수립,031-253-5737,
경기도,수원시,수원시아동청소년정신건강복지센터,정신보건,경기도 수원시 팔달구 동말로47번길 17,37.27939629,126.9993939,지역 내 아동 청소년 정신보건사업 기획 조기중재사업 평가사업,031-242-5738,
경기도,수원시,수원시성인정신건강복지센터,정신보건,경기도 수원시 팔달구 매산로 89,37.27049849,127.0106742,중증정신 질환 관리 정신건강 증진사업,031-247-0888,
경기도,수원시,수원시자살예방센터,정신보건,경기도 수원시 팔달구 동말로47번길 17,37.27939629,126.9993967,수원시 자살예방사업 종합계획 수립 자살 고위험군 등록관리 및 치료지원,031-247-3279,
울산광역시,울주군,울주군정신건강복지센터,정신보건,울산광역시 울주군 삼남면 서향교1길 67-12,35.5583314,129.113771,"중증정신질환자관리, 정신건강증진, 자살예방사업, 아동청소년 정신건강증진 등",052-262-1148,
울산광역시,울주군,울주군정신건강복지센터,정신보건,울산광역시 울주군 삼남면 서향교1길 67-12,35.5583314,129.113771,"중증정신질환자관리, 정신건강증진, 자살예방사업, 아동청소년 정신건강증진 등",052-262-1148,
경상북도,영덕군,영덕군정신건강복지센터,정신보건,경상북도 영덕군 영덕읍 경동로 8367,36.4181557591,129.3676308742,"정신건강증진사업, 중증정신질환관리사업, 생명존중(자살예방)사업, 정신보건 환경조성사업",054-730-7161,
경기도,평택시,평택시정신건강복지센터,정신보건,경기도 평택시 평택5로56,36.99089576,127.1119697,정신건강증진 및 자살예방사업,031-658-9818,
경기도,평택시,포승건강생활지원센터,건강증진,경기도 평택시 포승읍 여술로47,36.98936154,126.847404,"금연, 운동관리",031-8024-8660,
경기도,평택시,평택시건강증진센터,건강증진,경기도 평택시 평택5로 56,36.99089531,127.1119719,"통합건강상담실, 어린이건강체험관, 재활운동실, 로봇보행재활실 운영",031-8024-4414,
대전광역시,중구,대전광역시중구정신건강복지센터,정신보건,대전광역시 중구 수도산로 15,36.3203561,127.4258843,"중증정신질환자관리, 자살예방 및 정신건강증진사업, 아동청소년 정신건강증진사업",042-257-9930,
경기도,수원시,수원시중독관리통합지원센터,정신보건,경기도 수원시 팔달구 매산로 89,37.27049849,127.0106742,알코올 및 기타중독자의 발견 및 등록사업 가족전화 내방상담 교육,031-256-9478,
경기도,수원시,수원시노인정신건강복지센터,정신보건,경기도 수원시 영통구 영통로 396,37.2568828,127.0697108,노인정신건강 서비스 대상자 등록 및 관리 의뢰체계 구축 노인정신질환 관련 프로그램 운영,031-273-7524,
