,시도,구분,제목,장소,기간,가격,문의처
353,경기도,무용/발레,류무용단의 상상(想像)하는 우리춤 [안성],안성맞춤아트홀,2022-11-12~2022-11-12,유료,안성맞춤아트홀 031-660-0666
358,경기도,기타,크로이체르 소나타: 베토벤과 톨스토이의 만남 [용인],용인시 평생학습관,2022-11-12~2022-11-12,유료,용인문화재단 CS센터 031-260-3355 / 3358
362,경기도,뮤지컬/오페라,헤어드레서 [연천],연천수레울아트홀,2022-11-12~2022-11-12,유료,"연천수레울아트홀 031-834-3770, 031-839-2910"
364,경기도,무용/발레,댄싱뮤지엄 [오산],오산문화예술회관,2022-11-12~2022-11-12,유료,오산문화예술회관 031-379-9999
365,경기도,뮤지컬/오페라,생텍쥐페리 [남양주],다산아트홀,2022-11-12~2022-11-12,유료,"다산아트홀 031-590-4358, 4361"
367,경기도,국악,2022 전통창작음악집단 4인놀이 콘서트 “Born Von 本 : 근본으로부터 태어나다”,용인문화예술원(마루홀),2022-11-12~2022-11-12,유료,070-8959-9569
387,경기도,연극,맥베스 [수원],경기아트센터,2022-11-03~2022-11-13,유료,경기도극단 031-230-3302~3304
394,경기도,뮤지컬/오페라,장화신은 고양이 [안산],NC소극장 안산 고잔,2022-11-05~2022-11-13,유료,NC소극장 031-414-2100
398,경기도,뮤지컬/오페라,거리위의 빨간모자 [부천],한국만화박물관,2022-11-05~2022-11-13,유료,극단 다람 032-612-8883
399,경기도,음악/콘서트,"제11회 SF미래과학축제, SF음악콘서트",국립과천과학관 천체투영관,2022-11-06~2022-11-13,유료,국립과천과학관 02-3677-1458
415,경기도,연극,지는 해의 그림자 [안양],안양아트센터,2022-11-11~2022-11-13,유료,극단 미스터리 031-444-6783
416,경기도,연극,산책하는 침략자,고양아람누리 새라새극장,2022-11-11~2022-11-13,유료,고양문화재단 1577-7766
417,경기도,뮤지컬/오페라,삼총사 [고양],고양아람누리 아람극장,2022-11-11~2022-11-13,유료,창라이프 1566-6551
433,경기도,뮤지컬/오페라,캐리TV 러브콘서트: KPOP [부천],부천시민회관 대공연장,2022-11-12~2022-11-13,유료,드림엔터테인먼트 1600-1787
437,경기도,뮤지컬/오페라,급식왕: 발가락 떡볶이의 비밀 [용인],용인포은아트홀,2022-11-12~2022-11-13,유료,창라이프 1566-6551
438,경기도,뮤지컬/오페라,"민쩌미, 사랑해요 엄마! [고양]",고양어울림누리,2022-11-12~2022-11-13,유료,동그라미그리기 1577-4868
451,경기도,음악/콘서트,"MEG아트홀 기획연주 40, Story on the Strings : 더 비전 스트링 퀄텟",MEG아트홀,2022-11-13~2022-11-13,유료,MEG아트홀 010-9458-5310
455,경기도,음악/콘서트,제8회 더 스트링스 정기연주회,성남아트센터,2022-11-13~2022-11-13,유료,지클레프 02-515-5123
459,경기도,뮤지컬/오페라,페임,반석아트홀,2022-11-13~2022-11-13,무료,070-4218-9928
468,경기도,뮤지컬/오페라,피노키오 [부천],오정아트홀,2022-11-13~2022-11-13,유료,극단 희망 010-2258-9411
484,경기도,음악/콘서트,피아니스트 윤소영의 모차르트 피아노 소나타 전곡 시리즈 [수원],경기아트센터,2022-11-15~2022-11-15,유료,영음예술기획 02-581-5404
490,경기도,음악/콘서트,남양주시립합창단 기획연주회: 칸티아모,다산아트홀,2022-11-15~2022-11-15,무료,남양주시 문화예술과 031-590-2475
493,경기도,기타,안산시립예술단과 함께하는 수수콘(수요일 수려한 콘서트),소극장 보노마루,2022-05-04~2022-11-16,유료,080-481-4000
497,경기도,연극,미치던 날 [의정부],의정부문화원,2022-11-15~2022-11-16,유료,학교에연극을심는사람들 010-2684-3766
511,경기도,음악/콘서트,"국립합창단, 모차르트 레퀴엠 [오산]",오산문화예술회관,2022-11-16~2022-11-16,유료,오산문화예술회관 031-379-9999
528,경기도,음악/콘서트,소윤경 피아노 독주회,성남아트센터,2022-11-17~2022-11-17,유료,"성남아트센터 콜센터 1544-8117, 031-783-8000"
531,경기도,음악/콘서트,한국지역난방공사와 함께하는 2022 마티네 콘서트 - 11월,성남아트센터 콘서트홀,2022-11-17~2022-11-17,유료,1544-8117
536,경기도,음악/콘서트,"브런치클래식, 도나우강 뮤직 크루즈 Ⅵ: 도나우에서 흑해로",군포문화예술회관,2022-11-17~2022-11-17,유료,군포문화예술회관 031-390-3500~1
560,경기도,무용/발레,"국립무용단, 새날 [평택]",평택남부문예회관 대공연장,2022-11-18~2022-11-18,유료,평택시문화재단 031-8053-3532
565,경기도,무용/발레,물속 골리앗 [남양주],다산아트홀,2022-11-18~2022-11-18,유료,"다산아트홀 031-590-4358, 4361"
566,경기도,음악/콘서트,제297회 부천필하모닉오케스트라 정기연주회,부천시민회관 대공연장,2022-11-18~2022-11-18,유료,부천시립예술단 032-327-7523
574,경기도,뮤지컬/오페라,헨젤과 그레텔 [김포],김포한강괜찮은홀,2022-11-05~2022-11-19,유료,김포한강괜찮은홀 070-8886-2516
577,경기도,연극,종이아빠 [군포],군포시평생학습원 상상극장,2022-11-17~2022-11-19,유료,군포시평생학습원 상상극장 031-390-3050
581,경기도,뮤지컬/오페라,의심의 소녀 [광명],광명시민회관,2022-11-18~2022-11-19,유료,아리보네 협동조합 010-2748-8274
583,경기도,뮤지컬/오페라,백만송이의 사랑 [수원],경기아트센터,2022-11-18~2022-11-19,유료,경기아트센터 031-230-3440
591,경기도,연극,회란기 [용인],용인시문예회관 처인홀,2022-11-18~2022-11-19,유료,"용인문화재단 031-260-3355, 3358"
595,경기도,뮤지컬/오페라,뮤지컬 <의심의 소녀>,광명시민회관,2022-11-18~2022-11-19,유료,arebornemusical@gmail.com
603,경기도,국악,이희문 오방神과,복사골문화센터 아트홀,2022-11-19~2022-11-19,유료,032-320-6336
616,경기도,뮤지컬/오페라,"아람누리 오페라 콘서트 시리즈 Ⅶ, 라 트라비아타: 고독",고양아람누리 아람음악당,2022-11-19~2022-11-19,유료,고양문화재단 1577-7766
619,경기도,국악,이희문 오방神과 [부천],복사골문화센터 아트홀,2022-11-19~2022-11-19,유료,복사골문화센터 아트홀 032-320-6336
620,경기도,뮤지컬/오페라,돼지책 [구리],구리아트홀 유채꽃 소극장,2022-11-19~2022-11-19,유료,극단 가람 031-633-4864
623,경기도,뮤지컬/오페라,고고다이노 우리동네공룡 [평택],평택시 서부문화예술회관,2022-11-19~2022-11-19,유료,인터파크 1544-1555
627,경기도,무용/발레,바디콘서트 [경기 광주],남한산성아트홀,2022-11-19~2022-11-19,유료,광주시문화재단 031-762-8638
630,경기도,뮤지컬/오페라,겨울왕국: 겨울이야기 [남양주],남양주 어린이비전센터,2022-11-19~2022-11-19,유료,옴니아트홀 070-8183-9755
641,경기도,무용/발레,바디 콘서트,남한산성아트홀,2022-11-19~2022-11-19,유료,광주시문화재단 031-762-8638
643,경기도,음악/콘서트,"2022 카즈미 타테이시 트리오 내한 공연-지브리, 재즈를 만나다(성남)",성남아트센터 콘서트홀,2022-11-19~2022-11-19,유료,070-8680-8477
645,경기도,전시,[현대어린이책미술관] 네모난 오아시스,현대어린이책미술관,2022-07-14~2022-11-20,유료,031-5170-3700
663,경기도,연극,봄의 노래는 바다에 흐르고 [수원],수원SK아트리움,2022-11-12~2022-11-20,유료,아트리버 02-6498-0403 / 수원문화재단 031-267-1644
664,경기도,연극,수원시립공연단 제19회 정기공연 연극 <봄의 노래는 바다에 흐르고>,수원SK아트리움,2022-11-12~2022-11-20,유료,02-6498-0403
689,경기도,뮤지컬/오페라,캐리TV 러브콘서트: KPOP [고양],고양어울림누리,2022-11-19~2022-11-20,유료,드림엔터테인먼트 1600-1787
693,경기도,뮤지컬/오페라,백설공주 [수원],경기아트센터,2022-11-19~2022-11-20,유료,극단 상상마당 1588-6212
695,경기도,뮤지컬/오페라,누가 내머리에 똥 쌌어? [고양],고양어울림누리,2022-11-19~2022-11-20,유료,한울엔터테인먼트 1566-7754
699,경기도,뮤지컬/오페라,시크릿쥬쥬 시즌3: 별의 여신 마지막콘서트 [안산],안산문화예술의전당,2022-11-19~2022-11-20,유료,동그라미그리기 1577-4868
703,경기도,연극,버스를 놓치다 [안산],안산문화예술의전당,2022-11-19~2022-11-20,유료,극단 전진 031-507-6448
705,경기도,뮤지컬/오페라,킹키부츠 [성남],성남아트센터,2022-11-19~2022-11-20,유료,장터미디어 1877-5030
709,경기도,음악/콘서트,"MEG아트홀 기획연주 42, 첼리스트 김민지: 바흐 무반주 전곡 리사이틀",MEG아트홀,2022-11-20~2022-11-20,유료,MEG아트홀 010-9458-5310
714,경기도,뮤지컬/오페라,프린세스 공주 [수원],장안구민회관(한누리아트홀),2022-11-20~2022-11-20,유료,조이컬쳐 010-9611-2073
720,경기도,뮤지컬/오페라,라푼젤 [파주],문산행복센터,2022-11-20~2022-11-20,유료,극단 해미소 02-974-5745 / 인터파크 1544-1555
736,경기도,국악,광주시문화재단 출범 2주년 기념 콘서트 [경기 광주],남한산성아트홀,2022-11-22~2022-11-22,유료,광주시문화재단 031-762-8638
741,경기도,국악,광주시문화재단 2주년 기념 콘서트 어서옵SHOW!,남한산성아트홀,2022-11-22~2022-11-22,유료,광주시문화재단 031-762-8638
746,경기도,국악,사군자,하남문화예술회관,2022-11-23~2022-11-23,무료,남성가객단 타래 010-7917-1995
747,경기도,음악/콘서트,제192회 성남시립교향악단 정기연주회,성남아트센터 콘서트홀,2022-11-23~2022-11-23,유료,성남시립교향악단 031-729-4809
757,경기도,음악/콘서트,"서희태의 렉쳐콘서트, 1도 몰라도 즐기는 가족 클래식: 사계&동물의사육제",고양아람누리 아람음악당,2022-11-23~2022-11-23,유료,뉴서울필하모닉오케스트라 02-6002-6290~1
773,경기도,음악/콘서트,"남양주시립합창단 기획연주회, 클래식 세계여행 (11.24)",다산아트홀,2022-11-24~2022-11-24,무료,남양주시 문화예술과 031-590-2475
777,경기도,음악/콘서트,부천시립합창단 신예지휘자 연주회,부천시민회관 대공연장,2022-11-24~2022-11-24,유료,부천시립예술단 032-327-7523
782,경기도,뮤지컬/오페라,"씨네오페라, 라보엠 [용인]",용인포은아트홀,2022-11-24~2022-11-24,유료,"용인문화재단 031-260-3355, 3358"
784,경기도,무용/발레,에미 母 Emi : Mother,성남아트센터,2022-11-24~2022-11-24,유료,성남아트센터 031-783-8000
785,경기도,무용/발레,"인천시티발레단, 지젤 [평택]",평택남부문예회관 대공연장,2022-11-24~2022-11-24,유료,평택시문화재단 031-8053-3513
787,경기도,음악/콘서트,장애인을 위한 세상의 빛 음악회,고양아람누리 아람음악당,2022-11-24~2022-11-24,무료,우림복지재단 031-924-5784
792,경기도,연극,연극 <FBW>,안산문화예술의전당,2022-11-24~2022-11-25,유료,080-481-4000
801,경기도,음악/콘서트,문지영 피아노 리사이틀 [성남],성남아트센터 콘서트홀,2022-11-25~2022-11-25,유료,성남아트센터 031-783-8000
815,경기도,음악/콘서트,"해설이 있는 클래식 음악회, 낭만시리즈 2 [과천]",과천시민회관 대극장,2022-10-29~2022-11-26,유료,과천문화재단 02-2009-9772
820,경기도,아동/가족,노래하는 토리,복사골문화센터 판타지아극장,2022-11-25~2022-11-26,유료,032-320-6336
823,경기도,뮤지컬/오페라,"국립오페라단, 라 트라비아타 [군포]",군포문화예술회관,2022-11-25~2022-11-26,유료,군포문화예술회관 031-390-3500~1
826,경기도,뮤지컬/오페라,적벽 [오산],오산문화예술회관,2022-11-25~2022-11-26,유료,오산문화예술회관 031-379-9999
833,경기도,음악/콘서트,"토요키즈클래식, 클래식으로 만나는 겨울 [용인] (11월)",용인포은아트홀,2022-11-26~2022-11-26,유료,"용인문화재단 031-260-3355, 3358"
836,경기도,음악/콘서트,노부스 콰르텟-오직베토벤,복사골문화센터 아트홀,2022-11-26~2022-11-26,유료,032-320-6336
841,경기도,음악/콘서트,"아람 로열 클래식 4, 손민수 리사이틀",고양아람누리 아람음악당,2022-11-26~2022-11-26,유료,고양문화재단 1577-7766
842,경기도,음악/콘서트,"노부스 콰르텟, 오직 베토벤 [부천]",복사골문화센터 아트홀,2022-11-26~2022-11-26,유료,복사골문화센터 아트홀 032-320-6336
845,경기도,뮤지컬/오페라,바다탐험대 옥토넛 시즌2: 대산호초 보호작전 [화성],유앤아이센터 화성아트홀,2022-11-26~2022-11-26,유료,오름기획 1599-9354
851,경기도,뮤지컬/오페라,겨울왕국: 겨울이야기 [동두천],동두천시민회관,2022-11-26~2022-11-26,유료,극단 희망 010-2258-9411
852,경기도,연극,장수상회 [안산],안산문화예술의전당,2022-11-26~2022-11-26,유료,오름기획 1599-9354
855,경기도,뮤지컬/오페라,박쥐 [수원],경기아트센터,2022-11-26~2022-11-26,유료,경기아트센터 031-230-3440
861,경기도,국악,허균의 꿈 [안성],안성맞춤아트홀,2022-11-26~2022-11-26,유료,안성맞춤아트홀 031-660-0666
862,경기도,기타,크로키키 브라더스 [안양],평촌아트홀,2022-11-26~2022-11-26,유료,"평촌아트홀 031-687-0555, 0500"
863,경기도,국악,이날치 단독 콘서트 [구리],구리아트홀 코스모스대극장,2022-11-26~2022-11-26,유료,구리아트홀 아트서비스존 031-580-7900~1
864,경기도,뮤지컬/오페라,누가 내머리에 똥 쌌어? [시흥],ABC홀,2022-11-26~2022-11-26,유료,한울엔터테인먼트 1566-7754
865,경기도,연극,"HCF kids 청소년 2, 회란기 [화성]",반석아트홀,2022-11-26~2022-11-26,유료,화성시문화재단 1588-5234
866,경기도,음악/콘서트,국립심포니오케스트라와 만나는 한국동요와 가곡: 온 가족이 함께하는 우리노래 [남양주],다산아트홀,2022-11-26~2022-11-26,유료,"다산아트홀 031-590-4358, 4361"
870,경기도,음악/콘서트,테너 김세일의 겨울 나그네 [광명],광명시민회관,2022-11-26~2022-11-26,유료,광명문화재단 02-2621-8845
872,경기도,아동/가족,2022 방방곡곡 문화공감 [크로키키 브라더스],평촌아트홀,2022-11-26~2022-11-26,유료,031-687-0555/0500
879,경기도,전시,[아트센터 화이트블럭] 새로운 사물의 발견 Neue Deutsche Dinge,아트센터 화이트블럭,2022-09-30~2022-11-27,유료,031-992-4400
897,경기도,뮤지컬/오페라,팥죽할멈과 호랑이 [안산],NC소극장 안산 고잔,2022-11-19~2022-11-27,유료,NC백화점 안산고잔점 어린이소극장 031-414-2100
902,경기도,뮤지컬/오페라,크리스마스 칸타타 [고양],고양아람누리 아람극장,2022-11-24~2022-11-27,유료,사단법인 그라시아스합창단 1899-2199
912,경기도,무용/발레,본(本),경기아트센터,2022-11-26~2022-11-27,유료,031-230-3311~3314
913,경기도,무용/발레,"경기아트센터 레퍼토리시즌, 경기도무용단: 본 [수원]",경기아트센터,2022-11-26~2022-11-27,유료,"경기도무용단 031-230-3311~3314, 3319"
920,경기도,뮤지컬/오페라,캐치! 티니핑: 프린세스 다이어리 [고양(앵콜)],고양어울림누리,2022-11-26~2022-11-27,유료,동그라미그리기 1577-4868
923,경기도,뮤지컬/오페라,킹키부츠 [이천],이천아트홀,2022-11-26~2022-11-27,유료,이천아트홀 031-636-2202
929,경기도,뮤지컬/오페라,엄마까투리: 마트에 간 꽁지 [수원],롯데백화점 문화홀,2022-11-26~2022-11-27,유료,인터파크 1544-1555
931,경기도,음악/콘서트,"MEG아트홀 기획연주 43, Fantasy of Romance: 플루트 박은지 피아노 나누리",MEG아트홀,2022-11-27~2022-11-27,유료,MEG아트홀 010-9458-5310
939,경기도,음악/콘서트,윤한과 함께하는 아침음악살롱,안산문화예술의전당,2022-11-29~2022-11-29,유료,안산문화예술의전당 콜센터 080-481-4000 / 인터파크 1544-1555 / 단체관람 031-481-4028
941,경기도,음악/콘서트,조이 오브 스트링스 Winter Story [경기 광주],남한산성아트홀,2022-11-29~2022-11-29,유료,광주시문화재단 031-762-8638
946,경기도,음악/콘서트,조이 오브 스트링스 <겨울 이야기>,남한산성아트홀,2022-11-29~2022-11-29,유료,광주시문화재단 031-762-8638
961,경기도,음악/콘서트,윤한과 함께하는 아침음악살롱 (11월) [안산],안산문화예술의전당,2022-11-30~2022-11-30,유료,안산문화예술의전당 080-481-4000
963,경기도,연극,"네버랜드 in 군포 Ⅵ, 아버지와 살면",군포문화예술회관,2022-11-30~2022-11-30,유료,군포문화예술회관 031-390-3500~1
966,경기도,음악/콘서트,"클래식으로 읽는 동화 2, 꿀벌마야의 모험 [의정부]",의정부아트캠프,2022-11-30~2022-11-30,유료,의정부 아트캠프 031-850-5134
970,경기도,음악/콘서트,첼로댁 조윤경 리사이틀 [안성],안성맞춤아트홀,2022-11-30~2022-11-30,유료,안성맞춤아트홀 031-660-0666
972,경기도,뮤지컬/오페라,<2022 경기도 문화의 날 [안양아트인 데이] 오페라 라 보엠> - 안양,안양아트센터,2022-11-30~2022-11-30,무료,031-687-0500/0555
975,경기도,국악,Concert Meditation <반향 2022 : 묵(默)>,경기아트센터,2022-12-02~2022-12-02,유료,031-289-6471~6474
979,경기도,연극,연극 <전태일 네 이름은 무엇이냐>,안산문화예술의전당,2022-12-03~2022-12-03,유료,080-481-4000
983,경기도,연극,앤 [고양],고양아람누리 새라새극장,2022-10-24~2022-12-04,유료,하랑씨어터 기획팀 070-8637-9032
993,경기도,뮤지컬/오페라,오페라 <라보엠>,성남아트센터,2022-12-09~2022-12-09,유료,031-783-8000
994,경기도,뮤지컬/오페라,피노키오 [김포],김포한강괜찮은홀,2022-11-26~2022-12-10,유료,김포한강괜찮은홀 070-8886-2516
995,경기도,음악/콘서트,파리나무십자가 소년합창단,부천시민회관 대공연장,2022-12-10~2022-12-10,유료,032-320-6336
996,경기도,음악/콘서트,피아니스트 박종해와 친구들,성남아트센터 콘서트홀,2022-12-10~2022-12-10,유료,031-783-8000
1011,경기도,음악/콘서트,크리스마스 지브리 탱고,성남아트센터 콘서트홀,2022-12-14~2022-12-14,유료,031-783-8000
1012,경기도,기타,안산시립예술단 특별기획공연: 안산의 사계,소극장 보노마루,2022-04-28~2022-12-15,유료,문화예술과 031-481-2064
1014,경기도,음악/콘서트,토크 콘서트 : 12월의 랑데북,경기아트센터,2022-12-15~2022-12-15,유료,20:00~21:40
1015,경기도,음악/콘서트,한국지역난방공사와 함께하는 2022 마티네 콘서트 - 12월,성남아트센터 콘서트홀,2022-12-15~2022-12-15,유료,1544-8117
1018,경기도,음악/콘서트,사라 장 & 비르투오지,남한산성아트홀,2022-12-16~2022-12-16,유료,광주시문화재단 031-762-8638
1021,경기도,아동/가족,환상의 버블벌룬쇼,복사골문화센터 판타지아극장,2022-12-16~2022-12-17,유료,032-320-6334
1022,경기도,음악/콘서트,2022파리나무십자가 소년합창단 특별초청공연-성남,성남아트센터 콘서트홀,2022-12-17~2022-12-17,유료,031-738-1492
1041,경기도,뮤지컬/오페라,뮤지컬 <스페셜5>,안산문화예술의전당,2022-12-23~2022-12-24,유료,080-481-4000
1042,경기도,음악/콘서트,2022 리처드 용재 오닐 송년 콘서트 <선물>,성남아트센터 콘서트홀,2022-12-24~2022-12-24,유료,031-783-8000
1047,경기도,연극,메리크리스마스 산타할아버지 [수원],KBS수원아트홀,2022-11-12~2022-12-25,유료,KBS수원아트홀 031-216-5201
1052,경기도,음악/콘서트,콘서트 <유키구라모토와 친구들>,안산문화예술의전당,2022-12-25~2022-12-25,유료,080-481-4000
1053,경기도,음악/콘서트,<브로콜리너마저 크리스마스 콘서트> - 안양,평촌아트홀,2022-12-25~2022-12-25,유료,031-687-0500/0555
1061,경기도,뮤지컬/오페라,온라인 매직스쿨,용용아저씨,2021-01-04~2022-12-31,유료,010-7229-4288
1064,경기도,교육/체험,디지털 「소나기」산책 영상체험관 + AR 체험,-,2021-07-17~2022-12-31,기타,031-773-2299
1065,경기도,전시,원더풀랜드,고양 어린이박물관,2021-08-17~2022-12-31,유료,031-839-0300
1069,경기도,전시,도전! 어린이 건축가,경기도어린이박물관,2022-01-01~2022-12-31,무료,031-270-8600
1073,경기도,교육/체험,우리는 숲에서 문화생활 합니다,-,2022-01-04~2022-12-31,유료,031-437-2041
1083,경기도,교육/체험,식물공방 체험프로그램 안내,-,2022-06-01~2022-12-31,유료,031-437-2041
1091,경기도,전시,Everyday New Art Fair!,아트뮤제갤러리 롯데백화점 일산점,2022-10-01~2022-12-31,무료,아트뮤제 갤러리 031-909-3187 / 아트뮤제 본사 02-543-6151
1110,경기도,연극,딜리버리 [수원],KBS수원아트홀,2022-11-18~2023-01-01,유료,KBS수원아트홀 031-216-5201
1124,경기도,전시,바로크 백남준 展,백남준아트센터,2022-07-20~2023-01-24,무료,031-201-8548
1144,경기도,전시,[집밖] 다다익선 : 즐거운 협연,국립현대미술관 과천관,2022-09-14~2023-02-26,무료,국립현대미술관 과천 02-2188-6000
1150,경기도,전시,이풀실내정원 기획전시 <ORGANIC SPECTRUM>,이풀실내정원,2022-07-05~2023-03-03,무료,031-437-2525
1156,경기도,기타,[집밖] MMCA 과천프로젝트 2022 : 옥상정원 시간의 정원,국립현대미술관 과천관,2022-06-29~2023-06-25,무료,02-2188-6000
1164,경기도,전시,김포다도박물관 상설전시,김포다도박물관,2020-12-31~2024-12-31,유료,031-998-1000
