,시도,시군구,시설유형(소),시설명,연락처
6196,경기도,김포시,노인요양시설,삼성훼밀리요양원,319841336
6197,경기도,김포시,노인요양시설,사랑의 뜨락,031-989-6506
6198,경기도,김포시,노인요양시설,나원호요양원,1086775981
6199,경기도,김포시,노인요양시설,사랑마을,031)996-2233
6200,경기도,김포시,노인요양시설,에덴동산요양원,031-985-2543
6201,경기도,김포시,노인요양시설,가브리엘요양원,031-996-8004
6202,경기도,김포시,노인요양공동생활가정,고촌연세실버홈,031-984-7572
6203,경기도,김포시,노인요양공동생활가정,늘푸른요양원,319897991
6204,경기도,김포시,노인요양공동생활가정,김포다온 요양원,319961915
6205,경기도,김포시,노인요양공동생활가정,정다운 요양원,319983218
6206,경기도,김포시,노인요양공동생활가정,금빛사랑채요양원,031-988-5220
6207,경기도,김포시,노인요양공동생활가정,성지소망의 집,070-7522-1858
6208,경기도,김포시,노인요양공동생활가정,우리요양원,319828156
6209,경기도,김포시,노인요양공동생활가정,예담마을요양원,319823328
6210,경기도,김포시,노인요양공동생활가정,건강한,319909991
6211,경기도,김포시,노인요양공동생활가정,김포수요양원,319888109
6212,경기도,김포시,노인요양공동생활가정,김포행복한요양원,319875259
6213,경기도,김포시,노인요양공동생활가정,연세새롬요양원,031-982-5114
6214,경기도,김포시,노인요양공동생활가정,건강하다 전해라,031)998-1775
6215,경기도,김포시,노인요양공동생활가정,포내리요양원,319834415
6216,경기도,김포시,노인요양공동생활가정,온누리요양원,031-998-6699
6217,경기도,김포시,노인요양공동생활가정,아름다운 요양원,319818079
6218,경기도,김포시,노인요양공동생활가정,김포 건강한,319909991
6219,경기도,김포시,노인요양공동생활가정,튼튼한,319985113
6220,경기도,김포시,노인요양공동생활가정,효담요양원,031-991-1966
6221,경기도,김포시,노인요양공동생활가정,효자손요양원,319841365
6222,경기도,김포시,노인복지관,김포시노인종합복지관,031-997-9300
6223,경기도,김포시,노인복지관,김포시북부노인복지관,031-984-0108
6224,경기도,김포시,노인교실,아름실버대학,031-988-6007
6225,경기도,김포시,재가노인복지시설,싱글벙글 플러스 복지센터,319963885
6226,경기도,김포시,재가노인복지시설,통진솔가실주간보호센터,319881988
6227,경기도,김포시,재가노인복지시설,김포행복한주간보호센터,319875259
6228,경기도,김포시,재가노인복지시설,김포재가방문센터,319868253
6229,경기도,김포시,재가노인복지시설,김포다사랑 노인주야간보호센터,319915688
6230,경기도,김포시,재가노인복지시설,김포시북부노인주간보호센터,031-984-0108
6231,경기도,김포시,재가노인복지시설,김포바른방문요양센터,031-986-7080
6232,경기도,김포시,재가노인복지시설,행복플러스노인주간보호센터,031-986-3460
6233,경기도,김포시,재가노인복지시설,자부심실버스테이,319822234
6234,경기도,김포시,재가노인복지시설,김포VIP단기보호센터,319811474
6235,경기도,김포시,재가노인복지시설,홍익재가복지센터,3180497220
6236,경기도,김포시,재가노인복지시설,금빛노인복지센터,319882855
6237,경기도,김포시,재가노인복지시설,성지노인복지센터,319865530
6238,경기도,김포시,재가노인복지시설,(A+)희망노인복지센터,319976981
6239,경기도,김포시,재가노인복지시설,천사노인주야간보호센터,319984007
6240,경기도,김포시,재가노인복지시설,김포굿케어방문간호센터,319870086
6241,경기도,김포시,재가노인복지시설,정다운 주간보호센터,319983218
6242,경기도,김포시,재가노인복지시설,함께노인복지센터,319872020
6243,경기도,김포시,재가노인복지시설,장수재가복지파견센터,319982219
6244,경기도,김포시,재가노인복지시설,더맑은 주야간보호센터,319929402
6245,경기도,김포시,재가노인복지시설,팔팔한 주간보호센터,319878813
6246,경기도,김포시,재가노인복지시설,가장즐거운방문요양,319856092
6247,경기도,김포시,재가노인복지시설,마주봄주간보호센터,319871231
6248,경기도,김포시,재가노인복지시설,시니어재가복지센터,319838596
6249,경기도,김포시,재가노인복지시설,사우리 재가복지센터,319974823
6250,경기도,김포시,재가노인복지시설,해맑은 주야간보호센터,319929402
6251,경기도,김포시,재가노인복지시설,김포효사랑 주야간보호센터,319978321
6252,경기도,김포시,재가노인복지시설,봄봄노인주간보호센터,319814747
6253,경기도,김포시,재가노인복지시설,복지콜원스톱노인센터,319973119
6254,경기도,김포시,재가노인복지시설,"""큰마음""주야간보호센터",319975755
6255,경기도,김포시,재가노인복지시설,방주재가복지센터,319893206
6256,경기도,김포시,재가노인복지시설,우리재가요양센터,031-982-8156
6257,경기도,김포시,재가노인복지시설,국민복지용구센터,319976845
6258,경기도,김포시,재가노인복지시설,고촌소망재활주간보호센터,319880190
6259,경기도,김포시,재가노인복지시설,김포시노인주간보호센터,319963922
6260,경기도,김포시,재가노인복지시설,한마음방문요양센터,3180490129
6261,경기도,김포시,재가노인복지시설,처음처럼 노인주간돌봄센터,319987870
6262,경기도,김포시,재가노인복지시설,김포삼성주야간보호센터,319976611
6263,경기도,김포시,재가노인복지시설,헬스원 데이케어센터,031.997.9920
6264,경기도,김포시,재가노인복지시설,조아복지용구센터,7076289329
6265,경기도,김포시,재가노인복지시설,아름다운집 은빛사랑채,319871159
6266,경기도,김포시,재가노인복지시설,방주메디칼,7041843276
6267,경기도,김포시,재가노인복지시설,사랑방문요양센터,319875574
6268,경기도,김포시,재가노인복지시설,만나주간보호센터,319840092
6269,경기도,김포시,재가노인복지시설,가나안방문요양센터,319979364
6270,경기도,김포시,재가노인복지시설,참사랑 재가복지센터,319971743
6271,경기도,김포시,재가노인복지시설,김포한강노인복지센터,319831052
6272,경기도,김포시,재가노인복지시설,헤븐통합복지센터,319977300
6273,경기도,김포시,재가노인복지시설,김포엘림노인복지센터,319873114
6274,경기도,김포시,재가노인복지시설,A+가정방문굿케어복지센터,319985788
6275,경기도,김포시,재가노인복지시설,"""(A+)""튼튼한방문간호 통합재가센터",7082858218
6276,경기도,김포시,재가노인복지시설,마송노인주야간보호센터,319982977
6277,경기도,김포시,재가노인복지시설,김포스마일주간보호센터,319828858
6278,경기도,김포시,재가노인복지시설,건강돌봄주야간보호센터,319879983
6279,경기도,김포시,재가노인복지시설,"""김포""중앙데이케어센터",319858880
6280,경기도,김포시,재가노인복지시설,"""늘봄""데이케어센터",319858880
6281,경기도,김포시,재가노인복지시설,소나무재가복지센터,319899200
6282,경기도,김포시,재가노인복지시설,섬김노인주간보호센터,319909015
6283,경기도,김포시,재가노인복지시설,더조은케어,319918858
6284,경기도,김포시,재가노인복지시설,고은빛 누리 재가센터,319853861
6285,경기도,김포시,재가노인복지시설,김포시재가노인지원센터,031-998-8835
6286,경기도,김포시,재가노인복지시설,참손길 방문요양센터,319822249
6287,경기도,김포시,재가노인복지시설,착한재가노인복지센타,319813028
6288,경기도,김포시,재가노인복지시설,햇빛재가복지센터,7040906570
6289,경기도,김포시,복합노인복지시설,김포시니어클럽,031-986-1425
6290,경기도,김포시,노인일자리지원기관,김포시니어클럽,319861425
